Key,SourceString
SYSTEXT_QUESTLIST_NAME_AQ_001_1,"求めるは仙者の霊薬"
SYSTEXT_QUESTLIST_NAME_AQ_001_2,"結成！　若葉の探検隊！"
SYSTEXT_QUESTLIST_NAME_AQ_001_3,"亡霊の声"
SYSTEXT_QUESTLIST_NAME_AQ_001_4,"秘められた想い"
SYSTEXT_QUESTLIST_NAME_AQ_001_5,"永遠の誓い"
SYSTEXT_QUESTLIST_NAME_AQ_002_1,"ニーベルの指輪を探せ！"
SYSTEXT_QUESTLIST_NAME_AQ_002_2,"ヴァルハラの戦士たち"
SYSTEXT_QUESTLIST_NAME_AQ_002_3,"復活の三賢人"
SYSTEXT_QUESTLIST_NAME_AQ_002_4,"ニブルヘイム・サガ"
SYSTEXT_QUESTLIST_NAME_AQ_002_5,"神々の黄昏"
SYSTEXT_QUESTLIST_NAME_AQ_003_1,"魔瘴の子"
SYSTEXT_QUESTLIST_NAME_AQ_003_2,"父との再会"
SYSTEXT_QUESTLIST_NAME_AQ_003_3,"ハッパの想い"
SYSTEXT_QUESTLIST_NAME_AQ_003_4,"平和のために"
SYSTEXT_QUESTLIST_NAME_AQ_003_5,"暗黒大樹の守り人"
SYSTEXT_QUESTLIST_NAME_AQ_004_1,"それが気がかり"
SYSTEXT_QUESTLIST_NAME_AQ_004_2,"禁断の子守唄"
SYSTEXT_QUESTLIST_NAME_AQ_004_3,"死を呼ぶ少女"
SYSTEXT_QUESTLIST_NAME_AQ_004_4,"終わりの声"
SYSTEXT_QUESTLIST_NAME_AQ_004_5,"ルベカとフィーヤ"
SYSTEXT_QUESTLIST_NAME_AQ_005_1,"ネコババはダメなのニャ"
SYSTEXT_QUESTLIST_NAME_AQ_005_2,"ネコにゴハンなのニャ"
SYSTEXT_QUESTLIST_NAME_AQ_005_3,"ネコかぶりでＧＯなのニャ"
SYSTEXT_QUESTLIST_NAME_AQ_005_4,"借りてきたネコなのニャ"
SYSTEXT_QUESTLIST_NAME_AQ_005_5,"ネコの手も借りるのニャ"
SYSTEXT_QUESTLIST_NAME_AQ_006_1,"唄う王子"
