Key,SourceString
SYSTXT_SHOP_INN_NPC_01010,"Hello,<lf>welcome to the Travelers' Inn<lf><br_break>"
SYSTXT_SHOP_INN_NPC_01020,"Welcome to the Traveler's Inn.<lf>Thanks for coming, even at this time.<lf><br_break>"
SYSTXT_SHOP_INN_NPC_01030,"Stay overnight?<lf>Or just a little while?<lf>Both cost {YADOYA_GOLD} Gold.<lf><select><lf>Overnight<lf>A Bit<lf>Not Now<lf><select_end><break>"
SYSTXT_SHOP_INN_NPC_01040,"Oh.<lf>Looks like you don't have enough gold.<lf><bw_break>"
SYSTXT_SHOP_INN_NPC_01050,"So long travelers!<lf>　また　お立ちよりください。<lf><turn_end>"
SYSTXT_SHOP_INN_NPC_01060,"How long do you want to rest for?<lf><select><lf>朝まで<lf>夜まで<lf><select_end><break>"
SYSTXT_SHOP_INN_NPC_01070,"Don't want to stay?<lf>Alright then, another time...<lf><br_break>"
SYSTXT_SHOP_INN_NPC_01080,"「それでは　ごゆっくり<lf>　おやすみください。"
SYSTXT_SHOP_INN_NPC_01090,"Good morning!<lf>Have a nice day!<lf><turn_end>"
SYSTXT_SHOP_INN_NPC_01100,"Had a good rest?<lf>Have a nice day!<lf><turn_end>"
SYSTXT_SHOP_INN_NPC_02010,"Hello,<lf>welcome to the Travelers' Inn<lf><br_break>"
SYSTXT_SHOP_INN_NPC_02020,"Welcome to the Traveler's Inn.<lf>Thanks for coming, even at this time.<lf><br_break>"
SYSTXT_SHOP_INN_NPC_02030,"Stay overnight?<lf>Or just a little while?<lf>Both cost {YADOYA_GOLD} Gold.<lf><select><lf>Overnight<lf>A Bit<lf>Not Now<lf><select_end><break>"
SYSTXT_SHOP_INN_NPC_02040,"Regrettable, but<lf>looks like you don't have enough gold.<lf><bw_break>"
SYSTXT_SHOP_INN_NPC_02050,"So long travelers!<lf>　また　お立ちよりください。<lf><turn_end>"
SYSTXT_SHOP_INN_NPC_02060,"How long do you want to rest for?<lf><select><lf>朝まで<lf>夜まで<lf><select_end><break>"
SYSTXT_SHOP_INN_NPC_02070,"Don't want to stay?<lf>Alright then, another time...<lf><br_break>"
SYSTXT_SHOP_INN_NPC_02080,"For guests,<lf>we've got a fluffy bed waiting for you.<lf>Please　ごゆっくり　rest ください。"
SYSTXT_SHOP_INN_NPC_02090,"Good morning!<lf>Take care!<lf>And have a nice day!<lf><turn_end>"
SYSTXT_SHOP_INN_NPC_02100,"Had a good rest?<lf>Take care!<lf>And have a nice day!<lf><turn_end>"
SYSTXT_SHOP_INN_NPC_03010,"Come on in!<lf>This is the Traveler's Inn.<lf><br_break>"
SYSTXT_SHOP_INN_NPC_03020,"This is the Traveler's Inn.<lf>Thanks for coming, even at this time.<lf><br_break>"
SYSTXT_SHOP_INN_NPC_03030,"Stay overnight?<lf>Or just a little while?<lf>Both cost {YADOYA_GOLD} Gold.<lf><select><lf>Overnight<lf>A Bit<lf>Not Now<lf><select_end><break>"
SYSTXT_SHOP_INN_NPC_03040,"Oh. Sorry, but<lf>that's not enough gold.<lf><bw_break>"
SYSTXT_SHOP_INN_NPC_03050,"So long travelers!<lf>　この次は　rest っておくれよ。<lf><turn_end>"
SYSTXT_SHOP_INN_NPC_03060,"How long do you want to rest for?<lf><select><lf>朝まで<lf>夜まで<lf><select_end><break>"
SYSTXT_SHOP_INN_NPC_03070,"Not now?<lf>Alright then, another time...<lf><br_break>"
