Key, SourceString
PA_ACTION_NO_I_YAKUSOU,"仲間ひとりの<lf>ＨＰを３０～回復<lf>使ったらなくなる"
PA_ACTION_NO_I_JYOUYAKUSOU,"仲間ひとりの<lf>ＨＰを５０～回復<lf>使ったらなくなる"
PA_ACTION_NO_I_AMORUNOMIZU,"仲間ひとりの<lf>ＨＰを６０～回復<lf>使ったらなくなる"
PA_ACTION_NO_I_IYASISOU,"仲間ひとりの<lf>ＨＰを７０～回復<lf>使ったらなくなる"
PA_ACTION_NO_I_TOKUYAKUSOU,"仲間ひとりの<lf>ＨＰを８０～回復<lf>使ったらなくなる"
PA_ACTION_NO_I_YAKUSOU_4500,"仲間ひとりの<lf>ＨＰ３００～回復<lf>使ったらなくなる"
PA_ACTION_NO_I_DOKUKESISOU,"仲間ひとりの<lf>毒を治す<lf>使ったらなくなる"
PA_ACTION_NO_I_JYOUDOKUKESISOU,"仲間ひとりの毒と<lf>ＨＰ３０～回復<lf>使ったらなくなる"
PA_ACTION_NO_I_TOKUDOKUKESISOU,"仲間ひとりの毒と<lf>ＨＰ６０～回復<lf>使ったらなくなる"
PA_ACTION_NO_I_MANGETUSOU,"仲間ひとりの<lf>マヒを治す<lf>使ったらなくなる"
PA_ACTION_NO_I_KITUKESOU,"仲間ひとりのマヒ<lf>ＨＰが３０～回復<lf>使ったらなくなる"
PA_ACTION_NO_I_TUKINOMEGUMI,"仲間ひとりのマヒ<lf>ＨＰが６０～回復<lf>使ったらなくなる"
PA_ACTION_NO_I_TENSINOSUZU,"仲間ひとりの<lf>混乱を治す<lf>使ったらなくなる"
PA_ACTION_NO_I_SEKAIJYUNOHA,"仲間ひとりをＨＰ<lf>半分で生き返す<lf>使ったらなくなる"
PA_ACTION_NO_I_SEKAIJYUNOSIZUKU,"仲間全員の<lf>ＨＰが完全に回復<lf>使ったらなくなる"
PA_ACTION_NO_I_MAHOUNO_KOBIN,"仲間ひとりの<lf>ＭＰを１０回復<lf>使ったらなくなる"
PA_ACTION_NO_I_MAHOUNO_SEISUI,"仲間ひとりの<lf>ＭＰを３６～回復<lf>使ったらなくなる"
PA_ACTION_NO_I_KENJANO_SEISUI,"仲間ひとりの<lf>ＭＰを７０～回復<lf>使ったらなくなる"
PA_ACTION_NO_I_MP_HEAL_90,"仲間ひとりの<lf>ＭＰを９０～回復<lf>使ったらなくなる"
PA_ACTION_NO_I_MAHOUNO_KOBIN_4500,"仲間ひとりの<lf>ＭＰ１５０～回復<lf>使ったらなくなる"
PA_ACTION_NO_I_ERUHUNONOMIGUSURI,"仲間ひとりの<lf>ＭＰを完全に回復<lf>使ったらなくなる"
PA_ACTION_NO_I_DOKUGANOKONA,"敵１体を<lf>マヒさせる毒粉<lf>使ったらなくなる"
PA_ACTION_NO_I_MADARAKUMOITO,"敵１体の<lf>すばやさを下げる<lf>使ったらなくなる"
PA_ACTION_NO_I_YUMEMINOHANA,"敵１体を<lf>眠らせる花<lf>使ったらなくなる"
PA_ACTION_NO_I_MEZAMENOHANA,"仲間ひとりの<lf>眠りを覚ます<lf>使ったらなくなる"
PA_ACTION_NO_I_IKAZUCHINOTSUE,"戦闘中に使うと<lf>雷を呼び<lf>敵を打ち砕く杖"
PA_ACTION_NO_I_OYABUNNOOOTATE,"戦闘中に使うと<lf>たまに敵を<lf>おびえさせる大盾"
PA_ACTION_NO_I_KEIRONNOYUMI,"戦闘中に使うと<lf>ＨＰが回復する<lf>神秘の弓"
PA_ACTION_NO_I_KOORINOTSUME,"戦闘中に使うと<lf>氷のつぶてが<lf>敵をおそうツメ"
PA_ACTION_NO_I_KOORINOYAIBA,"戦闘中に使うと<lf>氷のつぶてが<lf>敵をおそう短剣"
PA_ACTION_NO_I_KOORINOTSUE,"戦闘中に使うと<lf>氷のつぶてが<lf>敵をおそう杖"
PA_ACTION_NO_I_SAJINNOYARI,"土のチカラを宿し<lf>戦闘中に使うと<lf>敵を幻惑するやり"
PA_ACTION_NO_I_SABAKINOTSUE,"戦闘中に使うと<lf>風で敵を切り裂く<lf>聖なる杖"
PA_ACTION_NO_I_SEIRENNOTSUE,"戦闘中に使うと<lf>呪文に強くなる<lf>魅惑的な杖"
PA_ACTION_NO_I_DORAGONNOTSUE,"巨大な火球を放ち<lf>ドラゴンのＭＰを<lf>たやすく奪う杖"
PA_ACTION_NO_I_HAJYANOTSURUGI,"戦闘中に使うと<lf>地を這う炎が<lf>敵を焼き尽くす剣"
PA_ACTION_NO_I_BASHOUSEN,"戦闘中に使うと<lf>風で敵を切り裂く<lf>名高いおうぎ"
PA_ACTION_NO_I_PIORANOTSUE,"戦闘中に使うと<lf>すばやくなれる<lf>翼をかたどった杖"
PA_ACTION_NO_I_HONOONOTSUME,"戦闘中に使うと<lf>火の玉が飛びだす<lf>魔法のツメ"
PA_ACTION_NO_I_MAGUMANOTSUE,"戦闘中に使うと<lf>爆発を起こし<lf>敵を打ち倒す杖"
PA_ACTION_NO_I_MADOUSHINOTSUE,"戦闘中に使うと<lf>火の玉が放たれる<lf>魔法の杖"
PA_ACTION_NO_I_MAHUJINOTSUE,"戦闘中に使うと<lf>敵の呪文を<lf>封じ込める杖"
PA_ACTION_NO_I_KENJYANOTSUE,"戦闘中に使うと<lf>息攻撃に強くなる<lf>知恵者の杖"
PA_ACTION_NO_I_FUKUINNOTSUE,"戦闘中に使うと<lf>ＨＰが回復する<lf>祝福された杖"
