Key,SourceString
PA_ACTION_NO_I_YAKUSOU,"やくそう"
PA_ACTION_NO_I_JYOUYAKUSOU,"上やくそう"
PA_ACTION_NO_I_AMORUNOMIZU,"アモールの水"
PA_ACTION_NO_I_IYASISOU,"いやしそう"
PA_ACTION_NO_I_TOKUYAKUSOU,"特やくそう"
PA_ACTION_NO_I_YAKUSOU_4500,"超やくそう"
PA_ACTION_NO_I_DOKUKESISOU,"どくけしそう"
PA_ACTION_NO_I_JYOUDOKUKESISOU,"上どくけしそう"
PA_ACTION_NO_I_TOKUDOKUKESISOU,"特どくけしそう"
PA_ACTION_NO_I_MANGETUSOU,"まんげつそう"
PA_ACTION_NO_I_KITUKESOU,"きつけそう"
PA_ACTION_NO_I_TUKINOMEGUMI,"つきのめぐみ"
PA_ACTION_NO_I_TENSINOSUZU,"天使のすず"
PA_ACTION_NO_I_SEKAIJYUNOHA,"せかいじゅの葉"
PA_ACTION_NO_I_SEKAIJYUNOSIZUKU,"せかいじゅのしずく"
PA_ACTION_NO_I_MAHOUNO_KOBIN,"まほうの小ビン"
PA_ACTION_NO_I_MAHOUNO_SEISUI,"まほうのせいすい"
PA_ACTION_NO_I_KENJANO_SEISUI,"けんじゃのせいすい"
PA_ACTION_NO_I_MP_HEAL_90,"ようせいの霊薬"
PA_ACTION_NO_I_MAHOUNO_KOBIN_4500,"せいれいの霊薬"
PA_ACTION_NO_I_ERUHUNONOMIGUSURI,"エルフの飲み薬"
PA_ACTION_NO_I_DOKUGANOKONA,"どくがのこな"
PA_ACTION_NO_I_MADARAKUMOITO,"まだらくも糸"
PA_ACTION_NO_I_YUMEMINOHANA,"ゆめみの花"
PA_ACTION_NO_I_MEZAMENOHANA,"めざめの花"
PA_ACTION_NO_I_IKAZUCHINOTSUE,"いかずちの杖"
PA_ACTION_NO_I_OYABUNNOOOTATE,"おやぶんの大盾"
PA_ACTION_NO_I_KEIRONNOYUMI,"ケイロンの弓"
PA_ACTION_NO_I_KOORINOTSUME,"こおりのツメ"
PA_ACTION_NO_I_KOORINOYAIBA,"こおりのやいば"
PA_ACTION_NO_I_KOORINOTSUE,"こおりの杖"
PA_ACTION_NO_I_SAJINNOYARI,"さじんのやり"
PA_ACTION_NO_I_SABAKINOTSUE,"さばきの杖"
PA_ACTION_NO_I_SEIRENNOTSUE,"セイレーンの杖"
PA_ACTION_NO_I_DORAGONNOTSUE,"ドラゴンの杖"
PA_ACTION_NO_I_HAJYANOTSURUGI,"はじゃのつるぎ"
PA_ACTION_NO_I_BASHOUSEN,"ばしょうせん"
PA_ACTION_NO_I_PIORANOTSUE,"ピオラの杖"
PA_ACTION_NO_I_HONOONOTSUME,"ほのおのツメ"
PA_ACTION_NO_I_MAGUMANOTSUE,"マグマの杖"
PA_ACTION_NO_I_MADOUSHINOTSUE,"まどうしの杖"
PA_ACTION_NO_I_MAHUJINOTSUE,"まふうじの杖"
PA_ACTION_NO_I_KENJYANOTSUE,"賢者の杖"
PA_ACTION_NO_I_FUKUINNOTSUE,"福音の杖"
