Key,SourceString
ACTION_NO_IO,"イオ"
ACTION_NO_IONAZUN,"イオナズン"
ACTION_NO_IORA,"イオラ"
ACTION_NO_KIARI,"キアリー"
ACTION_NO_KIARIKU,"キアリク"
ACTION_NO_GIRA,"ギラ"
ACTION_NO_KUMONO,"クモノ"
ACTION_NO_ZAORA,"ザオ"
ACTION_NO_ZAORARU,"ザオラル"
ACTION_NO_ZAORIKU,"ザオリク"
ACTION_NO_ZAKI,"ザキ"
ACTION_NO_ZAMEHA,"ザメハ"
ACTION_NO_ZIBARIA,"ジバリア"
ACTION_NO_ZIBARINA,"ジバリーナ"
ACTION_NO_ZIBARIKA,"ジバリカ"
ACTION_NO_ZIBARUNBA,"ジバルンバ"
ACTION_NO_SUKARA,"スカラ"
ACTION_NO_SUKURUTO,"スクルト"
ACTION_NO_ZUSSIDO,"ズッシード"
ACTION_NO_DIVINESPELL,"ディバインスペル"
ACTION_NO_DORUKUMA,"ドルクマ"
ACTION_NO_DORUMA,"ドルマ"
ACTION_NO_DORUMOA,"ドルモーア"
ACTION_NO_BAHA,"バーハ"
ACTION_NO_BAIKIRUTO,"バイキルト"
ACTION_NO_BAISION,"バイシオン"
ACTION_NO_BAGI,"バギ"
ACTION_NO_BAGIKUROSU,"バギクロス"
ACTION_NO_BAGIMA,"バギマ"
ACTION_NO_BAGIMUTYO,"バギムーチョ"
ACTION_NO_PIORA,"ピオラ"
ACTION_NO_PIORIMU,"ピオリム"
ACTION_NO_HYADARUKO,"ヒャダルコ"
ACTION_NO_HYADO,"ヒャド"
ACTION_NO_HUBAHA,"フバーハ"
ACTION_NO_BEGIRAGON,"ベギラゴン"
ACTION_NO_BEGIRAMA,"ベギラマ"
ACTION_NO_HENATOSU,"ヘナトス"
ACTION_NO_BEHOIMI,"ベホイミ"
ACTION_NO_BEHOIMU,"ベホイム"
ACTION_NO_BEHOMARA,"ベホマラー"
ACTION_NO_HOIMI,"ホイミ"
ACTION_NO_BOMIE,"ボミエ"
ACTION_NO_BOMIOSU,"ボミオス"
ACTION_NO_MAGICBARRIER,"マジックバリア"
ACTION_NO_MANUSA,"マヌーサ"
ACTION_NO_MANUHA,"マヌーハ"
ACTION_NO_MAHYADO,"マヒャド"
ACTION_NO_MAHOKANTA,"マホカンタ"
ACTION_NO_MAHOKITE,"マホキテ"
ACTION_NO_MAHOSUTE,"マホステ"
ACTION_NO_MAHOTAN,"マホターン"
ACTION_NO_MAHOTON,"マホトーン"
ACTION_NO_MAHOTORA,"マホトラ"
ACTION_NO_MAHORI,"マホリー"
ACTION_NO_MEDAPANI,"メダパニ"
ACTION_NO_MEDAPANIMA,"メダパニーマ"
ACTION_NO_MERA,"メラ"
ACTION_NO_MERAZOMA,"メラゾーマ"
ACTION_NO_MERAMI,"メラミ"
ACTION_NO_RARIHO,"ラリホー"
ACTION_NO_RARIHOMA,"ラリホーマ"
ACTION_NO_RIBEHOIMI,"リベホイミ"
ACTION_NO_RIBEHOIMU,"リベホイム"
ACTION_NO_RIHOIMI,"リホイミ"
ACTION_NO_RUKANAN,"ルカナン"
ACTION_NO_RUKANI,"ルカニ"
ACTION_NO_M_DORUMADON_NUM3,"連続ドルマドン"
ACTION_NO_M_DORUMOA_NUM3,"連続ドルモーア"
ACTION_NO_M_MERAGAIA_NUM3,"神速メラガイアー"
ACTION_NO_M_ZIGODEIN,"ジゴデイン"
ACTION_NO_M_GIRAGUREIDO,"ギラグレイド"
ACTION_NO_RIREMITO,"リレミト"
ACTION_NO_M_RAIDEIN,"ライデイン"
ACTION_NO_MADANTE,"マダンテ"
ACTION_NO_BEHOMA,"ベホマ"
ACTION_NO_BEHOMAZUN,"ベホマズン"
ACTION_NO_DEIN,"デイン"
ACTION_NO_DORUMADON,"ドルマドン"
ACTION_NO_GIGADEIN,"ギガデイン"
ACTION_NO_IOGURANDE,"イオグランデ"
ACTION_NO_MAHYADEDOSU,"マヒャデドス"
ACTION_NO_MEGANTE,"メガンテ"
ACTION_NO_M_MEGAZARU,"メガザル"
ACTION_NO_MEGAZARU,"メガザル"
ACTION_NO_MERAGAIA,"メラガイアー"
ACTION_NO_MERASTORM,"メラストーム"
ACTION_NO_ZARAKI,"ザラキ"
ACTION_NO_ZARAKIMA,"ザラキーマ"
ACTION_NO_ZIGODEIN,"ジゴデイン"
PA_ACTION_NO_BAGIKUROSU_LIZARD,"バギクロス"
