Key, SourceString
PA_ODDSTATUS_NO_ABSORBMP1_ROD,"両手杖での攻撃時<lf>吸収できる<lf>ＭＰが増える"
PA_ODDSTATUS_NO_ABSORBMP1_STK,"スティック攻撃時<cf>吸収できる<cf>ＭＰが増える"
PA_ODDSTATUS_NO_ABSORBMP2_STK,"スティック攻撃時<cf>吸収できる<cf>ＭＰが増える"
PA_ODDSTATUS_NO_BUKIGUARD1_POL,"棍装備時の<lf>武器ガード率が<lf>０．５％増える"
PA_ODDSTATUS_NO_BUKIGUARD1_SPR,"ヤリ装備時の<lf>武器ガード率が<lf>１％増える"
PA_ODDSTATUS_NO_BUKIGUARD1_SWD,"片手剣装備時の<lf>武器ガード率が<lf>２％増える"
PA_ODDSTATUS_NO_BUKIGUARD1_TSW,"両手剣装備時の<lf>武器ガード率が<lf>２％増える"
PA_ODDSTATUS_NO_BUKIGUARD2_POL,"棍装備時の<lf>武器ガード率が<lf>１％増える"
PA_ODDSTATUS_NO_BUKIGUARD2_SPR,"ヤリ装備時の<lf>武器ガード率が<lf>２％増える"
PA_ODDSTATUS_NO_BUKIGUARD2_SWD,"片手剣装備時の<lf>武器ガード率が<lf>４％増える"
PA_ODDSTATUS_NO_BUKIGUARD2_TSW,"両手剣装備時の<lf>武器ガード率が<lf>２％増える"
PA_ODDSTATUS_NO_BUKIGUARD3_POL,"棍装備時の<lf>武器ガード率が<lf>４％増える"
PA_ODDSTATUS_NO_BUKIGUARD3_SPR,"ヤリ装備時の<lf>武器ガード率が<lf>４％増える"
PA_ODDSTATUS_NO_CHARM1_FAN,"扇装備時の<lf>みとれ率が<lf>２％増える"
PA_ODDSTATUS_NO_CHARM1_WHP,"ムチ装備時の<lf>みとれ率が<lf>１％増える"
PA_ODDSTATUS_NO_KAIFUKUIMARYOKU1_STK,"スティック装備時<lf>かいふく魔力が<lf>５増える"
PA_ODDSTATUS_NO_KAIFUKUIMARYOKU2_STK,"スティック装備時<lf>かいふく魔力が<lf>１０増える"
PA_ODDSTATUS_NO_KAIFUKUIMARYOKU3_STK,"スティック装備時<lf>かいふく魔力が<lf>２０増える"
PA_ODDSTATUS_NO_KAIFUKUIMARYOKU4_STK,"スティック装備時<lf>かいふく魔力が<lf>３０増える"
PA_ODDSTATUS_NO_KAISIN1_AXE,"オノ装備時の<lf>会心率が<lf>０．５％増える"
PA_ODDSTATUS_NO_KAISIN1_BOO,"ブーメラン装備時<cf>会心率が<cf>０．５％増える"
PA_ODDSTATUS_NO_KAISIN1_BOW,"弓装備時の<lf>会心率が<lf>０．５％増える"
PA_ODDSTATUS_NO_KAISIN1_CLW,"ツメ装備時の<lf>会心率が<lf>０．５％増える"
PA_ODDSTATUS_NO_KAISIN1_DGR,"短剣装備時の<lf>会心率が<lf>０．５％増える"
PA_ODDSTATUS_NO_KAISIN1_FAN,"扇装備時の<lf>会心率が<lf>０．５％増える"
PA_ODDSTATUS_NO_KAISIN1_HMR,"ハンマー装備時の<lf>会心率が<lf>０．５％増える"
PA_ODDSTATUS_NO_KAISIN1_NOT,"格闘での攻撃時<lf>会心率が<lf>０．５％増える"
PA_ODDSTATUS_NO_KAISIN1_POL,"棍装備時の<lf>会心率が<lf>０．５％増える"
PA_ODDSTATUS_NO_KAISIN1_SPR,"ヤリ装備時の<lf>会心率が<lf>０．５％増える"
PA_ODDSTATUS_NO_KAISIN1_SWD,"片手剣装備時の<lf>会心率が<lf>０．５％増える"
PA_ODDSTATUS_NO_KAISIN1_TSW,"両手剣装備時の<lf>会心率が<lf>０．５％増える"
PA_ODDSTATUS_NO_KAISIN1_WHP,"ムチ装備時の<lf>会心率が<lf>０．５％増える"
PA_ODDSTATUS_NO_KAISIN2_AXE,"オノ装備時の<lf>会心率が<lf>０．５％増える"
PA_ODDSTATUS_NO_KAISIN2_BOO,"ブーメラン装備時<cf>会心率が<cf>１％増える"
PA_ODDSTATUS_NO_KAISIN2_BOW,"弓装備時の<lf>会心率が<lf>１％増える"
PA_ODDSTATUS_NO_KAISIN2_CLW,"ツメ装備時の<lf>会心率が<lf>１％増える"
PA_ODDSTATUS_NO_KAISIN2_DGR,"短剣装備時の<lf>会心率が<lf>０．５％増える"
PA_ODDSTATUS_NO_KAISIN2_FAN,"扇装備時の<lf>会心率が<lf>１％増える"
PA_ODDSTATUS_NO_KAISIN2_HMR,"ハンマー装備時の<lf>会心率が<lf>１％増える"
PA_ODDSTATUS_NO_KAISIN2_NOT,"格闘での攻撃時<lf>会心率が<lf>１％増える"
PA_ODDSTATUS_NO_KAISIN2_POL,"棍装備時の<lf>会心率が<lf>１％増える"
PA_ODDSTATUS_NO_KAISIN2_SPR,"ヤリ装備時の<lf>会心率が<lf>１％増える"
PA_ODDSTATUS_NO_KAISIN2_SWD,"片手剣装備時の<lf>会心率が<lf>１％増える"
PA_ODDSTATUS_NO_KAISIN2_TSW,"両手剣装備時の<lf>会心率が<lf>１％増える"
PA_ODDSTATUS_NO_KAISIN2_WHP,"ムチ装備時の<lf>会心率が<lf>１％増える"
PA_ODDSTATUS_NO_KAISIN3_AXE,"オノ装備時の<lf>会心率が<lf>１％増える"
PA_ODDSTATUS_NO_KAISIN3_BOO,"ブーメラン装備時<cf>会心率が<cf>３％増える"
PA_ODDSTATUS_NO_KAISIN3_BOW,"弓装備時の<lf>会心率が<lf>３％増える"
PA_ODDSTATUS_NO_KAISIN3_CLW,"ツメ装備時の<lf>会心率が<lf>２％増える"
PA_ODDSTATUS_NO_KAISIN3_DGR,"短剣装備時の<lf>会心率が<lf>１％増える"
PA_ODDSTATUS_NO_KAISIN3_FAN,"扇装備時の<lf>会心率が<lf>３％増える"
PA_ODDSTATUS_NO_KAISIN3_HMR,"ハンマー装備時の<lf>会心率が<lf>２％増える"
PA_ODDSTATUS_NO_KAISIN3_NOT,"格闘での攻撃時<lf>会心率が<lf>２％増える"
PA_ODDSTATUS_NO_KAISIN3_POL,"棍装備時の<lf>会心率が<lf>２％増える"
PA_ODDSTATUS_NO_KAISIN3_SPR,"ヤリ装備時の<lf>会心率が<lf>２％増える"
PA_ODDSTATUS_NO_KAISIN3_SWD,"片手剣装備時の<lf>会心率が<lf>２％増える"
PA_ODDSTATUS_NO_KAISIN3_TSW,"両手剣装備時の<lf>会心率が<lf>２％増える"
PA_ODDSTATUS_NO_KAISIN3_WHP,"ムチ装備時の<lf>会心率が<lf>２％増える"
PA_ODDSTATUS_NO_KAISIN4_AXE,"オノ装備時の<lf>会心率が<lf>２％増える"
PA_ODDSTATUS_NO_KAISIN4_HMR,"ハンマー装備時の<lf>会心率が<lf>２％増える"
PA_ODDSTATUS_NO_KAISIN4_NOT,"格闘での攻撃時<lf>会心率が<lf>０％増える"
PA_ODDSTATUS_NO_KAISIN4_SWD,"片手剣装備時の<lf>会心率が<lf>０％増える"
PA_ODDSTATUS_NO_KAISIN4_TSW,"両手剣装備時の<lf>会心率が<lf>０％増える"
PA_ODDSTATUS_NO_KOUGEKI1_AXE,"オノ装備時の<lf>こうげき力が<lf>３増える"
PA_ODDSTATUS_NO_KOUGEKI1_BOO,"ブーメラン装備時<cf>こうげき力が<cf>３増える"
PA_ODDSTATUS_NO_KOUGEKI1_BOW,"弓装備時の<lf>こうげき力が<lf>３増える"
PA_ODDSTATUS_NO_KOUGEKI1_CLW,"ツメ装備時の<lf>こうげき力が<lf>３増える"
PA_ODDSTATUS_NO_KOUGEKI1_DGR,"短剣装備時の<lf>こうげき力が<lf>３増える"
PA_ODDSTATUS_NO_KOUGEKI1_FAN,"扇装備時の<lf>こうげき力が<lf>３増える"
PA_ODDSTATUS_NO_KOUGEKI1_HMR,"ハンマー装備時の<lf>こうげき力が<lf>３増える"
PA_ODDSTATUS_NO_KOUGEKI1_NOT,"格闘の時の<lf>こうげき力が<lf>３増える"
PA_ODDSTATUS_NO_KOUGEKI1_POL,"棍装備時の<lf>こうげき力が<lf>３増える"
PA_ODDSTATUS_NO_KOUGEKI1_SPR,"ヤリ装備時の<lf>こうげき力が<lf>５増える"
PA_ODDSTATUS_NO_KOUGEKI1_SWD,"片手剣装備時の<lf>こうげき力が<lf>３増える"
PA_ODDSTATUS_NO_KOUGEKI1_TSW,"両手剣装備時の<lf>こうげき力が<lf>３増える"
PA_ODDSTATUS_NO_KOUGEKI1_WHP,"ムチ装備時の<lf>こうげき力が<lf>３増える"
PA_ODDSTATUS_NO_KOUGEKI2_AXE,"オノ装備時の<lf>こうげき力が<lf>５増える"
PA_ODDSTATUS_NO_KOUGEKI2_BOO,"ブーメラン装備時<cf>こうげき力が<cf>５増える"
PA_ODDSTATUS_NO_KOUGEKI2_BOW,"弓装備時の<lf>こうげき力が<lf>５増える"
PA_ODDSTATUS_NO_KOUGEKI2_CLW,"ツメ装備時の<lf>こうげき力が<lf>５増える"
PA_ODDSTATUS_NO_KOUGEKI2_DGR,"短剣装備時の<lf>こうげき力が<lf>５増える"
PA_ODDSTATUS_NO_KOUGEKI2_FAN,"扇装備時の<lf>こうげき力が<lf>５増える"
PA_ODDSTATUS_NO_KOUGEKI2_HMR,"ハンマー装備時の<lf>こうげき力が<lf>５増える"
PA_ODDSTATUS_NO_KOUGEKI2_NOT,"格闘の時の<lf>こうげき力が<lf>５増える"
PA_ODDSTATUS_NO_KOUGEKI2_POL,"棍装備時の<lf>こうげき力が<lf>５増える"
PA_ODDSTATUS_NO_KOUGEKI2_SPR,"ヤリ装備時の<lf>こうげき力が<lf>７増える"
PA_ODDSTATUS_NO_KOUGEKI2_SWD,"片手剣装備時の<lf>こうげき力が<lf>５増える"
PA_ODDSTATUS_NO_KOUGEKI2_TSW,"両手剣装備時の<lf>こうげき力が<lf>５増える"
PA_ODDSTATUS_NO_KOUGEKI2_WHP,"ムチ装備時の<lf>こうげき力が<lf>５増える"
PA_ODDSTATUS_NO_KOUGEKI3_AXE,"オノ装備時の<lf>こうげき力が<lf>１０増える"
PA_ODDSTATUS_NO_KOUGEKI3_BOO,"ブーメラン装備時<cf>こうげき力が<cf>１５増える"
PA_ODDSTATUS_NO_KOUGEKI3_BOW,"弓装備時の<lf>こうげき力が<lf>１５増える"
PA_ODDSTATUS_NO_KOUGEKI3_CLW,"ツメ装備時の<lf>こうげき力が<lf>１０増える"
PA_ODDSTATUS_NO_KOUGEKI3_DGR,"短剣装備時の<lf>こうげき力が<lf>１０増える"
PA_ODDSTATUS_NO_KOUGEKI3_FAN,"扇装備時の<lf>こうげき力が<lf>１５増える"
PA_ODDSTATUS_NO_KOUGEKI3_HMR,"ハンマー装備時の<lf>こうげき力が<lf>１０増える"
PA_ODDSTATUS_NO_KOUGEKI3_NOT,"格闘の時の<lf>こうげき力が<lf>１０増える"
PA_ODDSTATUS_NO_KOUGEKI3_POL,"棍装備時の<lf>こうげき力が<lf>１５増える"
PA_ODDSTATUS_NO_KOUGEKI3_SPR,"ヤリ装備時の<lf>こうげき力が<lf>１０増える"
PA_ODDSTATUS_NO_KOUGEKI3_SWD,"片手剣装備時の<lf>こうげき力が<lf>１０増える"
PA_ODDSTATUS_NO_KOUGEKI3_TSW,"両手剣装備時の<lf>こうげき力が<lf>１０増える"
PA_ODDSTATUS_NO_KOUGEKI3_WHP,"ムチ装備時の<lf>こうげき力が<lf>１０増える"
PA_ODDSTATUS_NO_KOUGEKI4_AXE,"オノ装備時の<lf>こうげき力が<lf>１５増える"
PA_ODDSTATUS_NO_KOUGEKI4_HMR,"ハンマー装備時の<lf>こうげき力が<lf>１５増える"
PA_ODDSTATUS_NO_KOUGEKI4_NOT,"格闘の時の<lf>こうげき力が<lf>１５増える"
PA_ODDSTATUS_NO_KOUGEKI4_SWD,"片手剣装備時の<lf>こうげき力が<lf>０増える"
PA_ODDSTATUS_NO_KOUGEKI4_TSW,"両手剣装備時の<lf>こうげき力が<lf>１５増える"
PA_ODDSTATUS_NO_KOUGEKIMARYOKU1_ROD,"両手杖装備時の<lf>こうげき魔力が<lf>５増える"
PA_ODDSTATUS_NO_KOUGEKIMARYOKU2_ROD,"両手杖装備時の<lf>こうげき魔力が<lf>１０増える"
PA_ODDSTATUS_NO_KOUGEKIMARYOKU3_ROD,"両手杖装備時の<lf>こうげき魔力が<lf>２０増える"
PA_ODDSTATUS_NO_KOUGEKIMARYOKU4_ROD,"両手杖装備時の<lf>こうげき魔力が<lf>３０増える"
