Key,SourceString
PA_ACTION_NO_KABAU,"行動せずに仲間の<lf>ダメージを受ける<lf>戦士特技"
PA_ACTION_NO_LOSTATTACK,"ダメージとともに<lf>怒りやＳＨＴ解除<lf>テンションダウン"
PA_ACTION_NO_TAIATARI,"敵にダメージと<lf>ショックを与える<lf>戦士特技"
PA_ACTION_NO_YAIBAKUDAKI,"敵を攻撃しつつ<lf>攻撃力も下げる<lf>戦士特技"
PA_ACTION_NO_CHARGETACKLE,"大ダメージと<lf>ショックを与える<lf>戦士特技"
PA_ACTION_NO_YAIBAKUDAKI2,"攻撃力を２段階と<lf>ダメージを下げる<lf>戦士特技"
PA_ACTION_NO_LOSTBREAK_1,"激怒やＳＨＴ解除<lf>テンションダウン<lf>戦士特技"
PA_ACTION_NO_ISITUBUTE,"石のつぶてを<lf>敵１体に<lf>ぶつける"
PA_ACTION_NO_KAMAITATI,"エレメント系に<lf>威力を発揮する<lf>風切りのやいば"
PA_ACTION_NO_SEIKENDUKI,"チカラを込めて<lf>まっすぐ敵１体を<lf>なぐりつける"
PA_ACTION_NO_MOONSALTO,"飛んでいる敵に<lf>威力を発揮する<lf>華麗な宙返り"
PA_ACTION_NO_BAKURETUKEN,"敵１体に<lf>しっぷうどとうの<lf>４回攻撃"
PA_ACTION_NO_TATUJINNOKOKYU,"呼吸をととのえ<lf>少しずつ<lf>ＨＰを回復"
PA_ACTION_NO_SEIKENDUKI2,"チカラをためて<lf>敵１体に<lf>強烈な一撃"
PA_ACTION_NO_SHINKUHA_160,"敵グループを<lf>真空のやいばで<lf>斬りつける"
PA_ACTION_NO_KAENGIRI,"炎のチカラを<lf>剣に宿して<lf>敵を斬りつける"
PA_ACTION_NO_DRAGONGIRI,"ドラゴン系の敵に<lf>威力を発揮する<lf>竜殺しの剣技"
PA_ACTION_NO_MIRACLESWORD,"敵を斬りつけ<lf>自らのキズも<lf>いやす秘剣"
PA_ACTION_NO_HAYABUSAGIRI,"はやぶさのごとき<lf>高速の２回攻撃"
PA_ACTION_NO_GIGASLASH,"光の刃を剣にかえ<lf>敵をなぎはらう<lf>剣の奥義"
PA_ACTION_NO_HAYABUSAGIRI2,"はやぶさをこえる<lf>神速の４回攻撃"
PA_ACTION_NO_BLADEGUARD,"武器ガード率が<lf>大幅に上がる<lf>両手剣のかまえ"
PA_ACTION_NO_DRAGONSLASH,"ドラゴン系の敵に<lf>威力を発揮する<lf>竜殺しのひと振り"
PA_ACTION_NO_BUNMAWASI,"振りまわした剣で<lf>敵グループを<lf>なぎはらう"
PA_ACTION_NO_ZETTAIREIDO,"敵全体を<lf>凍てつく氷で<lf>こごえさせる"
PA_ACTION_NO_DAIZYOUDANGIRI,"頭上から<lf>敵１体を斬りつけ<lf>大ダメージ"
PA_ACTION_NO_PLASMABLADE_160,"敵グループに雷を<lf>連続発生させて<lf>炎耐性も下げる"
PA_ACTION_NO_TAIBOKUZAN,"植物系の敵に<lf>威力を発揮する<lf>頼もしいひと振り"
PA_ACTION_NO_SOUTENMAZAN,"敵１体を<lf>たまにマヒさせる<lf>気合いの大技"
PA_ACTION_NO_KABUTOWARI,"頭上から<lf>敵１体を斬りつけ<lf>守備力も下げる"
PA_ACTION_NO_MAZINGIRI,"失敗しやすいが<lf>うまく当たれば<lf>会心のいちげき"
PA_ACTION_NO_ONOMUSOU,"敵グループを<lf>粉砕する<lf>こんしんの大技"
PA_ACTION_NO_TEKKOUZAN,"敵１体を斬りつけ<lf>守備力を下げて<lf>すばやさもダウン"
PA_ACTION_NO_BIGSHIELD,"盾ガード率が<lf>大幅に上がる<lf>守りのかまえ"
PA_ACTION_NO_SHIELDATTACK,"身を守りつつ<lf>敵１体を攻撃する"
PA_ACTION_NO_MAMORINOTATE,"聖なる光で<lf>悪い効果から<lf>自分の身を守る"
PA_ACTION_NO_KAISINGUARD,"守りをかためて<lf>痛恨のいちげきの<lf>ダメージを軽減"
PA_ACTION_NO_PHALANX,"与えるダメージと<lf>ひきかえに受ける<lf>ダメージを減らす"
PA_ACTION_NO_SPELLGUARD,"自分に１回だけ<lf>呪文をかき消す<lf>バリアを張る"
PA_ACTION_NO_DUALGUARD_160,"ダメージを軽減し<lf>ビッグシールドと<lf>会心ガードも付与"
PA_ACTION_NO_TIKARANOTATE_190,"ＨＰを回復しつつ<lf>盾ガード時ＨＰが<lf>回復する効果付与"
PA_ACTION_NO_OHARAI,"仲間ひとりの<lf>呪いを解く"
PA_ACTION_NO_MAHOTORANOKOROMO,"ダメージを受けて<lf>ＭＰ回復<lf>僧侶特技"
PA_ACTION_NO_SEIZYONOMAMORI,"ＨＰが半分以上時<lf>即死をまぬがれる<lf>僧侶特技"
PA_ACTION_NO_TENSINOMAMORI,"死んでしまっても<lf>確実に生き返る<lf>僧侶特技"
PA_ACTION_NO_SEINARUINORI,"回復呪文の効果を<lf>かなり高める<lf>僧侶特技"
PA_ACTION_NO_HOLLYLIGHT,"聖なる光で<lf>ダメージを与える<lf>僧侶特技"
PA_ACTION_NO_MEGAMINOSYUKUHUKU,"ＨＰが２以上で<lf>即死をまぬがれる<lf>僧侶特技"
PA_ACTION_NO_KEMONODUKI,"獣系の敵に<lf>威力を発揮する<lf>荒々しい突き"
PA_ACTION_NO_RAIMEIDUKI,"雷のチカラを<lf>ヤリに宿して<lf>敵を突く"
PA_ACTION_NO_ISSENDUKI,"失敗しやすいが<lf>うまく当たれば<lf>会心のいちげき"
PA_ACTION_NO_ROUGADUKI,"敵グループを<lf>チカラをこめて<lf>刺しつらぬく大技"
PA_ACTION_NO_SAMIDAREDUKI,"敵を選ばず<lf>突きまくる<lf>どとうの４回攻撃"
PA_ACTION_NO_YARIYAIBA_160,"相手のダメージを<lf>下げる一撃を放ち<lf>武器ガードも上昇"
PA_ACTION_NO_MAGISTICK,"マジでステキに<lf>みりょくアップ"
PA_ACTION_NO_DEVILNDRAIN,"悪魔系の敵に<lf>威力を発揮し<lf>たまに魅了もする"
PA_ACTION_NO_CHARMYRIBBON,"スティックを<lf>グルグル回して<lf>敵を混乱させる"
PA_ACTION_NO_KIRAKIRAPAWN,"キラキラパワーで<lf>悪い効果から<lf>仲間の身を守る"
PA_ACTION_NO_RAPIDSTICK,"スティックを<lf>すばやくさばいて<lf>ときどき２回呪文"
PA_ACTION_NO_FLOATSTICK_160,"不思議なチカラで<lf>足元の攻撃を<lf>１回だけふせぐ"
PA_ACTION_NO_ASIBARAI,"敵グループの<lf>足元をはらって<lf>すっころばす"
PA_ACTION_NO_YOMIOKURI,"ゾンビ系の敵に<lf>威力を発揮する<lf>聖なる技"
PA_ACTION_NO_NAGIHARAI,"棍を振りまわし<lf>敵グループを<lf>なぎはらう"
PA_ACTION_NO_HYOUKETURANGEKI,"氷をまとった棍で<lf>敵１体を<lf>４回打ちつける"
PA_ACTION_NO_TENTINOKAMAE,"相手の攻撃を<lf>受けながしつつ<lf>なぐりかかる大技"
PA_ACTION_NO_POL_ADD_1,"武器ガード率と<lf>カウンター率が<lf>大幅に上がる"
PA_ACTION_NO_KYO_NAGIHARAI_160,"敵グループを<lf>２回なぎはらう"
PA_ACTION_NO_MAKEKKAI,"魔法の結界で<lf>攻撃呪文から<lf>自分の身を守る"
PA_ACTION_NO_BUKIMINAHIKARI,"敵１体を<lf>攻撃呪文に<lf>弱くする"
PA_ACTION_NO_MARYOKUNOIBUKI,"一定の間動かずに<lf>ＭＰを徐々に回復<lf>魔法使い特技"
PA_ACTION_NO_MARYOKUKAKUSEI,"呪文のダメージを<lf>大幅に上げる<lf>魔法使い特技"
PA_ACTION_NO_M_BUKIMINASENKOU_80,"攻撃呪文耐性を<lf>下げる３回攻撃<lf>魔法使い特技"
PA_ACTION_NO_KILLERBOON,"虫系の敵に<lf>威力を発揮する<lf>すばやい剣技"
PA_ACTION_NO_SLEEPDAGGER,"敵１体を<lf>斬りつけて<lf>たまに眠らせる"
PA_ACTION_NO_HYPNOSHUNT,"眠りや混乱の敵に<lf>威力を発揮する<lf>追い打ちの技"
PA_ACTION_NO_POISONDAGGER,"敵１体を<lf>斬りつけて<lf>たまに猛毒にする"
PA_ACTION_NO_TANATOSHUNT,"毒やマヒの敵に<lf>威力を発揮する<lf>追い打ちの技"
PA_ACTION_NO_CHAOSEDGE,"敵１体を斬りつけ<lf>混乱やマヒを<lf>起こさせる"
PA_ACTION_NO_NIGHTMAREFANG,"敵１体を斬りつけ<lf>猛毒や眠りを<lf>起こさせる"
PA_ACTION_NO_RASENUTI,"敵１体を<lf>たまに混乱させる<lf>ムチさばき"
PA_ACTION_NO_AINOMUTI,"怪人系の敵に<lf>威力を発揮する<lf>はげしいムチ攻撃"
PA_ACTION_NO_SENKOUDA,"まぶしい光で<lf>目をくらませる<lf>ムチの攻撃"
PA_ACTION_NO_SIBARIUTI,"敵１体を<lf>たまにマヒさせる<lf>ムチさばき"
PA_ACTION_NO_ZIBASIRIUTI,"振るったムチから<lf>雷が地面を走り<lf>敵グループを攻撃"
PA_ACTION_NO_SORYUUTI,"敵１体に<lf>双竜のごとく<lf>２回攻撃"
PA_ACTION_NO_BEATWHIP_160,"自身の攻撃力を<lf>上げつつ<lf>敵グループを打つ"
PA_ACTION_NO_AKUMABARAI,"悪魔系の敵に<lf>威力を発揮し<lf>さらにマヒさせる"
PA_ACTION_NO_HAYAYOMINOTUE,"不思議なチカラを<lf>杖に込めて<lf>ときどき２回呪文"
PA_ACTION_NO_SYUKUHUKUNOTUE,"仲間ひとりの<lf>ＨＰをそこそこ<lf>回復する"
PA_ACTION_NO_BOUSOUMAHOUZIN,"一定ターン呪文が<lf>暴走しやすくなる<lf>魔法陣を作る"
PA_ACTION_NO_HUKKATUNOTUE,"仲間ひとりを<lf>確実に<lf>生き返らせる"
PA_ACTION_NO_MERUKIDONOHIHOU_160,"一時的に<lf>最大ＨＰを増やす<lf>杖の秘技"
PA_ACTION_NO_TAMERU,"チカラをためて<lf>テンションアップ<lf>武闘家特技"
PA_ACTION_NO_SINTOUMEKKYAKU,"雑念をはらい<lf>ブレスダメージに<lf>強くなる"
PA_ACTION_NO_HUTOUHUKUTU,"自分の悪い効果を<lf>はらいのける<lf>武闘家特技"
PA_ACTION_NO_OTAKEBI,"敵グループを<lf>大声でおどかして<lf>ショックを与える"
PA_ACTION_NO_MEISOU,"めいそうして<lf>ＨＰを大幅に回復<lf>武闘家特技"
PA_ACTION_NO_TAMERUNI,"テンションを<lf>２５％上げる<lf>武闘家特技"
PA_ACTION_NO_SYUTYU,"無我の境地で<lf>ＭＰをかなり回復<lf>武闘家特技"
PA_ACTION_NO_TAMERUSAN,"テンションを<lf>５０％上げる<lf>武闘家特技"
PA_ACTION_NO_KOUUNRYUSUI_1,"テンションを<lf>一定の間維持する<lf>武闘家特技"
PA_ACTION_NO_WINGBLOW,"風のやいばを<lf>巻き起こし<lf>敵１体を攻撃"
PA_ACTION_NO_REKKOUKEN,"マシン系の敵に<lf>威力を発揮する<lf>鋼鉄を切り裂く拳"
PA_ACTION_NO_HITTYUKEN,"身かわしや<lf>ガードをされずに<lf>攻撃が必ずヒット"
PA_ACTION_NO_TIGERCLAW,"敵１体を<lf>３回連続で<lf>はげしく切り裂く"
PA_ACTION_NO_GOLDFINGER,"敵１体をなぐり<lf>よい効果を<lf>光で吹きとばす"
PA_ACTION_NO_CYCLONEUPPER,"旋風を巻き起こし<lf>敵１体を打ち抜く<lf>必殺のアッパー"
PA_ACTION_NO_TUMETOGU_160,"ツメを研ぎすまし<lf>攻撃力を一時的に<lf>かなり増やす"
PA_ACTION_NO_HANAHUBUKI,"花びらを散らし<lf>敵グループを<lf>幻惑にかける"
