Key,SourceString
SYSTXT_RESTRICTED_GAMEPLAY_00010,"しばりプレイ"
SYSTXT_RESTRICTED_GAMEPLAY_01010,"しばりプレイの解除"
SYSTXT_RESTRICTED_GAMEPLAY_01020,"設定中のしばりプレイ"
SYSTXT_RESTRICTED_GAMEPLAY_01030,"しばりプレイの<lf>設定を解除します"
SYSTXT_RESTRICTED_GAMEPLAY_02010,"しばりプレイ達成状況"
SYSTXT_RESTRICTED_GAMEPLAY_02020,"達成状況"
SYSTXT_RESTRICTED_GAMEPLAY_02030,"達成済"
SYSTXT_RESTRICTED_GAMEPLAY_02040,"解除"
SYSTXT_RESTRICTED_GAMEPLAY_02050,"一時解除"
SYSTXT_RESTRICTED_GAMEPLAY_02060,"設定中"
SYSTXT_RESTRICTED_GAMEPLAY_03010,"しばりプレイ設定"
SYSTXT_RESTRICTED_GAMEPLAY_03020,"しばりプレイの<lf>設定と確認<lf>をします"
SYSTXT_RESTRICTED_GAMEPLAY_03110,"設定項目の確認"
SYSTXT_RESTRICTED_GAMEPLAY_03120,"画面表示設定"
SYSTXT_RESTRICTED_GAMEPLAY_03130,"挑戦中の<lf>しばりプレイを<lf>確認できます"
SYSTXT_RESTRICTED_GAMEPLAY_03140,"しばりプレイの<lf>画面表示設定を<lf>変更します"
SYSTXT_RESTRICTED_GAMEPLAY_03210,"画面表示設定"
SYSTXT_RESTRICTED_GAMEPLAY_03220,"する"
SYSTXT_RESTRICTED_GAMEPLAY_03230,"しない"
SYSTXT_RESTRICTED_GAMEPLAY_03240,"しばりプレイの<lf>設定内容を画面に<lf>表示します"
SYSTXT_RESTRICTED_GAMEPLAY_03250,"しばりプレイの<lf>設定内容を画面に<lf>表示しません"
SYSTXT_RESTRICTED_GAMEPLAY_20010,"防具を装備できない"
SYSTXT_RESTRICTED_GAMEPLAY_20020,"楽な戦いは経験値なし"
SYSTXT_RESTRICTED_GAMEPLAY_20030,"消費ＭＰがすべて２倍"
SYSTXT_RESTRICTED_GAMEPLAY_20040,"主人公がやられたら全滅"
SYSTXT_RESTRICTED_GAMEPLAY_20050,"すべての敵が強くなる"
SYSTXT_RESTRICTED_GAMEPLAY_20060,"逃げられない"
SYSTXT_RESTRICTED_GAMEPLAY_20070,"必殺技はテンション100消費"
SYSTXT_RESTRICTED_GAMEPLAY_20080,"使う道具の持てる数を制限"
SYSTXT_RESTRICTED_GAMEPLAY_30010,"すべての　防具やアクセサリーを<lf>装備できなくなります！<lf>じゅもんやスキル　どうぐを<lf>うまく　使いこなしましょう！"
SYSTXT_RESTRICTED_GAMEPLAY_30020,"自分達の　最高レベルに満たない<lf>敵から　経験値がもらえません！<lf>レベルを上げたい時は<lf>強い敵と　戦いましょう！"
SYSTXT_RESTRICTED_GAMEPLAY_30030,"とくぎや　じゅもんを<lf>使うときに無くなるＭＰが<lf>すべて２倍になります！<lf>うまく　やりくりしましょう！"
SYSTXT_RESTRICTED_GAMEPLAY_30040,"バトル中に　主人公がやられると<lf>その時点で　ゲームオーバーに<lf>なってしまいます。<lf>注意して　戦いましょう。"
SYSTXT_RESTRICTED_GAMEPLAY_30050,"すべての敵が　強くなり<lf>厳しい　戦いになります！<lf>バトルに　自信のある人のみ<lf>覚悟を決めて　挑みましょう！"
SYSTXT_RESTRICTED_GAMEPLAY_30060,"すべてのバトルで<lf>敵から　逃げられなくなります。<lf>スキルや　どうぐを<lf>うまく使い　切りぬけましょう！"
SYSTXT_RESTRICTED_GAMEPLAY_30070,"必殺技の　消費テンションが<lf>すべて　最大値になります。<lf>とっておきの　切り札として<lf>ここぞの場面で　使いましょう。"
SYSTXT_RESTRICTED_GAMEPLAY_30080,"素材以外のどうぐは　持てる数に<lf>制限がかかります。<lf>やりくりして　どうぐを<lf>うまく　使いましょう！"
SYSTXT_RESTRICTED_GAMEPLAY_40010,"挑戦したい　しばりプレイの項目を<lf>選択してください。"
SYSTXT_RESTRICTED_GAMEPLAY_40020,"しばりプレイの　達成状況を　確認できます。<lf>達成済みの　しばりプレイには　★が記されます。<lf>すべての　冒険の記録が　反映されています。"
SYSTXT_RESTRICTED_GAMEPLAY_20011,"防具を装備できない　しばりプレイでは<lf>クリアできないクエストや<lf>取得できない職業があります。<lf><br><lf>本当に　このしばりプレイのままプレイしますか？<lf>（しばりプレイは　ゲーム中でも解除できます）<lf><yesno><break>"
