Key, SourceString
SYSTXT_MONSTER_TIPS2_MONSTER_NO_00100,"ひんやりプルプルの身体は<lf>暑くなると しんどいようだ。<lf>真夏にはスライムたちが<lf>岩陰で寝ていたりする。"
SYSTXT_MONSTER_TIPS2_MONSTER_NO_00101,"じつは スライムのメスという<lf>ウワサもあるようだが<lf>学会のえらい人でも<lf>真相は わからないらしい。"
SYSTXT_MONSTER_TIPS2_MONSTER_NO_00102,"メタルスライムの間では<lf>逃げる前に 何発 旅人に<lf>メラを当てられるかで<lf>勇敢さが決まるという。"
SYSTXT_MONSTER_TIPS2_MONSTER_NO_00200,"キャラのかぶっている<lf>ライバル モーモンの登場で<lf>守り続けたナンバー２の座が<lf>危ぶまれ 気が気でない。"
SYSTXT_MONSTER_TIPS2_MONSTER_NO_00201,"タホって どういう意味？<lf>そう聞いても教えてくれない。<lf>どうやら ただならぬ秘密が<lf>隠されているらしい……。"
SYSTXT_MONSTER_TIPS2_MONSTER_NO_00202,"手下のドラキーたちから<lf>すごく慕われているが<lf>じつは 自分にしかベホイミを<lf>かけないという エゴイスト。"
SYSTXT_MONSTER_TIPS2_MONSTER_NO_00203,"長く つらい修行を終えて<lf>魔界から戻ってきたのに<lf>他のドラキーたちからは<lf>すっかり忘れ去られていた。"
SYSTXT_MONSTER_TIPS2_MONSTER_NO_00300,"特徴的な踊りの動きは<lf>誰にも知られず がんばって<lf>身につけた 努力のたまもの。<lf>目指すはナスビ界のプリマ！"
SYSTXT_MONSTER_TIPS2_MONSTER_NO_00301,"若い頃からヤンチャで知られ<lf>一時期は１２股をかけていた。<lf>それが年を重ね シブみを増し<lf>チョイ悪ナスビに成長した。"
SYSTXT_MONSTER_TIPS2_MONSTER_NO_00302,"ブルーベリーを食べると<lf>目にいいといわれているが<lf>ブルベリーノを食べると<lf>どうやら涙目になるらしい。"
SYSTXT_MONSTER_TIPS2_MONSTER_NO_00304,"地獄の農場で 催された<lf>ジャンボ野菜コンテストで<lf>惜しくも 優勝を逃した。<lf>次回に望みをかけている。"
SYSTXT_MONSTER_TIPS2_MONSTER_NO_00400,"眠るときは 毒の沼地に<lf>ゆっくり身体をひたらせて<lf>心ゆくまで休むという。<lf>疲れると 泡が減ってしまう。"
