Key,SourceString
SYSTXT_CAREERE_HISTORY_00010,"{pc}　の　戦いのきろく"
SYSTXT_CAREERE_HISTORY_00020,"これまでのおはなし"
SYSTXT_CAREERE_HISTORY_00030,"討伐モンスターリスト"
SYSTXT_CAREERE_HISTORY_00040,"仲間モンスターリスト"
SYSTXT_CAREERE_HISTORY_00050,"収集アイテムリスト"
SYSTXT_CAREERE_HISTORY_00060,"収集おさかなリスト"
SYSTXT_CAREERE_HISTORY_00070,"職人レシピブック"
SYSTXT_CAREERE_HISTORY_00080,"獲得称号リスト"
SYSTXT_CAREERE_HISTORY_00090,"入手済みたからものリスト"
SYSTXT_CAREERE_HISTORY_00100,"モンスタータロット図鑑"
SYSTXT_CAREERE_HISTORY_00110,"クエストリスト"
SYSTXT_CAREERE_HISTORY_00120,"プレイ時間"
SYSTXT_CAREERE_HISTORY_00130,"戦闘勝利回数"
SYSTXT_CAREERE_HISTORY_00140,"倒したモンスターの種類"
SYSTXT_CAREERE_HISTORY_00150,"魔法の迷宮クリア回数"
SYSTXT_CAREERE_HISTORY_00160,"クリアしたクエストの種類"
SYSTXT_CAREERE_HISTORY_00170,"依頼書クエストクリア回数"
SYSTXT_CAREERE_HISTORY_00180,"ふしぎな鍛冶をした回数"
SYSTXT_CAREERE_HISTORY_00190,"全滅した回数"
SYSTXT_CAREERE_HISTORY_00200,"ちいさなメダル獲得数"
SYSTXT_CAREERE_HISTORY_00210,"称号獲得数"
SYSTXT_CAREERE_HISTORY_00220,"カジノで獲得したメダル枚数"
SYSTXT_CAREERE_HISTORY_00230,"全獲得ゴールド数"
SYSTXT_CAREERE_HISTORY_00240,"時間"
SYSTXT_CAREERE_HISTORY_00250,"分"
SYSTXT_CAREERE_HISTORY_00260,"回"
SYSTXT_CAREERE_HISTORY_00270,"種"
SYSTXT_CAREERE_HISTORY_00280,"枚"
SYSTXT_CAREERE_HISTORY_00290,"こ"
SYSTXT_CAREERE_HISTORY_00300,"G"
SYSTXT_CAREERE_HISTORY_00310,"れんきんがまを使った回数"
