Key,SourceString
ID_TEXT_UNUSEABLE_GENERAL,"{Character_Head}は　{Item_Selected_Name}を<cf>道具として　使ってみた。<br><cf>しかし　今は　何も起こらなかった……。"
ID_TEXT_DOUGUBUKURO_UNUSEABLE_NOTARGET_1,"{Character_Head}は　{Item_Selected_Name}を<cf>使おうとした。<br>"
ID_TEXT_DOUGUBUKURO_UNUSEABLE_NOTARGET_2_TOALL,"しかし　今の　{Character_Head}たちには<cf>必要なさそうだ。"
ID_TEXT_DOUGUBUKURO_UNUSEABLE_NOTARGET_2_TOONE,"しかし　今の　{Character_Selected_Name}には<cf>必要なさそうだ。"
ID_TEXT_DOUGUBUKURO_USEABLE_1_SINGULAR,"{Character_Head}は　{Item_Selected_Name}を　使った！<br>"
ID_TEXT_DOUGUBUKURO_USEABLE_1_PRURAL,"{Character_Head}は　{Item_Selected_Name}を　<cf>{Item_Selected_Quantity}個　使った！<br>"
ID_TEXT_DOUGUBUKURO_USEABLE_2_HP_SINGULAR,"{Character_Selected_Name}の　キズが　回復した！"
ID_TEXT_DOUGUBUKURO_USEABLE_2_HP_PRURAL,"{Character_Head}たちの　キズが　回復した！"
ID_TEXT_DOUGUBUKURO_USEABLE_2_MP_SINGULAR,"{Character_Selected_Name}の　ＭＰが　回復した！"
ID_TEXT_DOUGUBUKURO_USEABLE_2_MP_PRURAL,"{Character_Head}たちの　ＭＰが　回復した！"
ID_TEXT_DOUGUBUKURO_USEABLE_2_POISON,"{Character_Selected_Name}の　身体から　どくが消えた！"
ID_TEXT_DOUGUBUKURO_USEABLE_2_DEATH,"{Character_Selected_Name}は　いきかえった！"
ID_TEXT_DOUGUBUKURO_USEABLE_2_STATUSUP,"{Character_Selected_Name}の　{UpStatus_Name}が<cf>{UpStatus_Point}ポイント　あがった！"
ID_TEXT_DOUGUBUKURO_USEABLE_2_STATUSUP_PERCENT,"{Character_Selected_Name}の　{UpStatus_Name}が<cf>{UpStatus_Point}％　あがった！"
ID_TEXT_DOUGUBUKURO_USEABLE_SEISUI,"{Character_Head}は　せいすいを　ふりまいた！<br><cf>聖なるチカラに　つつまれ<cf>魔物に　気づかれにくくなった！"
ID_TEXT_DOUGUBUKURO_USEABLE_OTAKARASAGASINOSUZU,"{Character_Head}は　おたからを　さがした！"
ID_TEXT_DOUGUBUKURO_REUSE_OTAKARASAGASINOSUZU,"お宝のありかを　新しい情報に<cf>書き換えて　よいですか？<cf><yesno><break>"
ID_TEXT_DOUGUBUKURO_USEABLE_KISEKINOKOUSUI,"転生モンスターに<cf>会いやすくなった！"
ID_TEXT_DOUGUBUKURO_USEABLE_METALNAKOUSUI,"メタル系モンスターに<cf>会いやすくなった！"
ID_TEXT_DOUGUBUKURO_USEABLE_GENKIDAMA,"元気タイムになった！"
ID_TEXT_DOUGUBUKURO_USEABLE_SUKAUTONOSHO_1,"{Item_Selected_Name}は<cf>{Job_Type}用のスカウトの書です！<cf>本当に　使用してもよろしいですか？<cf><yesno><break>"
ID_TEXT_DOUGUBUKURO_USEABLE_SUKAUTONOSHO_2,"{Item_Selected_Name}を　読んだ。<cf><br_break>"
ID_TEXT_DOUGUBUKURO_USEABLE_SUKAUTONOSHO_3,"{Character_Head}は<cf>{Monster_Name}を<cf>仲間にする方法を　覚えた！<cf><br_break>"
ID_TEXT_DOUGUBUKURO_USEABLE_SUKAUTONOSHO_4,"{Monster_Name}に<cf>特技「スカウトアタック」を　使ってみよう！<cf><br_break>"
ID_TEXT_DOUGUBUKURO_USEABLE_SUKAUTONOSHO_5,"{Item_Selected_Name}は<cf>光に包まれ　消え去った！<cf><end>"
ID_TEXT_DOUGUBUKURO_USEABLE_USI_UMANOHUN_1,"{Character_Selected_Name}は<cf>{Item_Selected_Name}を　ぎゅっと　にぎりしめた！<br>"
ID_TEXT_DOUGUBUKURO_USEABLE_USI_UMANOHUN_2,"{Character_Selected_Name}は<cf>自分のおこないを　深く後悔した……。"
ID_TEXT_DOUGUBUKURO_USEABLE_COOKING_1,"{Character_Head}は<cf>{Item_Selected_Name}を　食べた！<br>"
ID_TEXT_DOUGUBUKURO_USEABLE_COOKING_2,"{Character_Head}たちは<cf>{Item_Selected_Name}を　食べた！<br>"
ID_TEXT_DOUGUBUKURO_USEABLE_COOKING_3 ,"{Character_Selected_Name}たちの　{UpStatus_Name}が<cf>{UpStatus_Point}ポイント　あがった！"
ID_TEXT_DOUGUBUKURO_USEABLE_COOKING_4,"{Character_Selected_Name}たちの　{UpStatus_Name}が<cf>{UpStatus_Point}％　あがった！"
ID_TEXT_DOUGUBUKURO_USEABLE_COOKING_5,"{Character_Selected_Name}の　{UpStatus_Name}効果が<cf>{UpStatus_Point}％　あがった！"
ID_TEXT_DOUGUBUKURO_USEABLE_COOKING_6 ,"{Character_Selected_Name}たちの　{UpStatus_Name}効果が<cf>{UpStatus_Point}％　あがった！"
ID_TEXT_DISCARDCHECK_GENERAL_SINGULAR,"{Item_Selected_Name}を<cf>捨てても　よろしいですか？<cf><yesno2><break>"
ID_TEXT_DISCARDCHECK_GENERAL_PRURAL,"{Item_Selected_Name}を　{Item_Selected_Quantity}個<cf>捨てても　よろしいですか？<cf><yesno2><break>"
ID_TEXT_DISCARDCHECK_GENERAL_PRECIOUS,"{Item_Selected_Name}は<cf>めったに手に入らない　貴重な物ですが<cf>捨てても　よろしいですか？<cf><yesno2><break>"
ID_TEXT_DISCARD_COMPLETE_GENERAL_SINGULAR,"{Item_Selected_Name}を　投げ捨てた。"
ID_TEXT_DISCARD_COMPLETE_GENERAL_PRURAL,"{Item_Selected_Name}を　{Item_Selected_Quantity}個　投げ捨てた。"
ID_TEXT_DISCARD_CANCEL,"{Item_Selected_Name}を　捨てるのをやめた。"
ID_TEXT_DISCARD_EQUIPED_SINGULAR,"装備中のアイテムですが<cf>捨てても　よろしいですか？<cf><yesno2><break>"
ID_TEXT_DISCARD_EQUIPED_PRURAL,"装備中のアイテムが含まれますが<cf>すべて捨てても　よろしいですか？<cf><yesno2><break>"
ID_TEXT_DISCARD_COLORED_SINGULAR,"そのアイテムは　カラーリングされていますが<cf>捨てても　よろしいですか？<cf><yesno2><break>"
ID_TEXT_DISCARD_COLORED_PRURAL,"カラーリングされた装備品が　含まれますが<cf>捨てても　よろしいですか？<cf><yesno2><break>"
ID_TEXT_DISCARD_SELECT,"どのアイテムを　捨てますか？（あと{Item_Selected_Rest}個）"
ID_TEXT_DISCARD_CANCELCHECK_COLORED,"カラーリングした　{Item_Selected_Name}を<cf>捨てるのを　やめますか？<cf><yesno><break>"
ID_TEXT_DISCARD_CANCELCHECK,"{Item_Selected_Name}を<cf>捨てるのを　やめますか？<cf><yesno2><break>"
ID_TEXT_DISCARDCHECK_SELECTED,"選択したそうびひんと　あわせて<cf>どうのつるぎを　９８個　捨てますが<cf>よろしいですか？<cf><yesno2><break>"
ID_TEXT_OMATOMEBUKURO_UNUSEABLE_1,"{Character_Head}は　{Item_Selected_Name}を<cf>道具として　使ってみた。<br><cf>しかし　何も起こらなかった。"
ID_TEXT_OMATOMEBUKURO_UNDISCARDABLE_1,"それを　捨てるなんて　もったいない！<br>"
ID_TEXT_OMATOMEBUKURO_FUKUBIKIKEN,"旅のコンシェルジュの　ところへ<cf>持っていこう！"
ID_TEXT_OMATOMEBUKURO_BIYOUINMURYOKEN,"美容院へ　持っていこう！"
ID_TEXT_DAIJINAMONO_UNDISCARDABLE_1,"それを　捨てるなんて　とんでもない！"
ID_TEXT_DAIJINAMONO_HOSHIDOKUKESHISOU,"{Character_Head}は　干しどくけし草に触れてみた。<br><cf>干しどくけし草は　軽く　さわっただけで<cf>くずれるくらい　パサパサに乾いている。"
ID_TEXT_DAIJINAMONO_HUKAHUKANOMOMIGARA,"{Character_Head}は　フカフカのもみガラが入った<cf>ふくろに　手をつっ込んでみた。<br><cf>名前の通り　フカフカで　気持ちよかった。"
ID_TEXT_DAIJINAMONO_BOUKENNOSYO_SYOKI,"{Character_Head}は　冒険の書を<cf>じっくり　ながめてみた。<br><cf>冒険の書の表紙を　見ていると<cf>空白部分が　さびしく感じる。"
ID_TEXT_DAIJINAMONO_BOUKENNOSYO_ORG,"{Character_Head}は　冒険の書を<cf>じっくり　ながめてみた。<br><cf>冒険の書の表紙には　一人前の証が<cf>しっかりと　刻まれている。"
ID_TEXT_DAIJINAMONO_BOUKENNOSYO_ELF,"{Character_Head}は　冒険の書を<cf>じっくり　ながめてみた。<br><cf>冒険の書の表紙には　一人前の証が<cf>しっかりと　刻まれている。"
ID_TEXT_DAIJINAMONO_BOUKENNOSYO_WED,"{Character_Head}は　冒険の書を<cf>じっくり　ながめてみた。<br><cf>冒険の書の表紙には　一人前の証が<cf>しっかりと　刻まれている。"
ID_TEXT_DAIJINAMONO_BOUKENNOSYO_PUK,"{Character_Head}は　冒険の書を<cf>じっくり　ながめてみた。<br><cf>冒険の書の表紙には　一人前の証が<cf>しっかりと　刻まれている。"
ID_TEXT_DAIJINAMONO_BOUKENNOSYO_DWF,"{Character_Head}は　冒険の書を<cf>じっくり　ながめてみた。<br><cf>冒険の書の表紙には　一人前の証が<cf>しっかりと　刻まれている。"
ID_TEXT_DAIJINAMONO_GARASUNOKOBIN_1,"{Character_Head}は　ガラスの小ビンを確かめた。<br><cf>ガラスの小ビンの中には　何も入っていない。"
ID_TEXT_DAIJINAMONO_GARASUNOKOBIN_2,"{Character_Head}は　ガラスの小ビンを確かめた。<br><cf>ガラスの小ビンの中には　美しい色合いをした<cf>地底湖の水が　入っている。"
ID_TEXT_DAIJINAMONO_GARASUNOKOBIN_3,"{Character_Head}は　ガラスの小ビンを確かめた。<br><cf>ガラスの小ビンの中には　にごった色をした<cf>地底湖の水が　入っている。"
ID_TEXT_DAIJINAMONO_KIREINAKAIGARA,"{Character_Head}は　キレイな貝がらを<cf>じっくり　ながめてみた。<br><cf>キレイな貝がらは　本当に　キレイだった。"
ID_TEXT_DAIJINAMONO_KESSYOUGA,"{Character_Head}は　結晶牙を<cf>指先で　つついてみた。<br><cf>チクッ！<br><cf>結晶牙の先端が　指にささって<cf>血が　にじんだ。"
ID_TEXT_DAIJINAMONO_RURASUTON,""
ID_TEXT_DAIJINAMONO_TAIRIKUKANTETSUDOUPASU,"{Character_Head}は　大陸間鉄道パスを<cf>じっくり　ながめてみた。<br><cf>なんだか　うれしい気持ちで　いっぱいになった。"
ID_TEXT_DAIJINAMONO_REMURUNOSEIHAI,"{Character_Head}は　レムルの聖杯を<cf>指先で　はじいてみた。<br><cf>美しく　澄んだ音が　ひびきわたる。"
ID_TEXT_DAIJINAMONO_GURORISUNOSIZUKU,"{Character_Head}は　グロリスのしずくを<cf>少しだけ　なめてみた。<br><cf>グロリスのしずくは　ほんのり甘かった。"
ID_TEXT_DAIJINAMONO_KONEKO,"{Character_Head}は　子ネコの様子を見てみた。<br><cf>子ネコは　元気なようだ。<cf>{Character_Head}のふところで　おとなしくしている。"
ID_TEXT_DAIJINAMONO_ANKOKUTAIJYUNOHA,"{Character_Head}は　暗黒大樹の葉を<cf>じっくり　ながめてみた。<br><cf>暗黒大樹の葉は　触れただけで　呪われそうな<cf>まがまがしいチカラに　満ちている。"
ID_TEXT_DAIJINAMONO_MAHOUNUNO,"{Character_Head}は　魔法布に触れてみた。<br><cf>魔法布は　ツルツルしていて<cf>肌ざわりが　よかった。"
ID_TEXT_DAIJINAMONO_MASYOUSEKINOTUTUMI,"{Character_Head}は　魔瘴石の包みを確かめた。<br><cf>包みの中の魔瘴石は　まがまがしい瘴気を<cf>放っている。"
ID_TEXT_DAIJINAMONO_KURONOKIIENBUREMU,"{Character_Head}は　黒のキーエンブレムを<cf>じっくり　ながめてみた。<br><cf>グレン城での　冒険の思い出が<cf>あざやかに　よみがえる。"
ID_TEXT_DAIJINAMONO_AKANOKIIENBUREMU,"{Character_Head}は　赤のキーエンブレムを<cf>じっくり　ながめてみた。<br><cf>ガートラント城での　冒険の思い出が<cf>あざやかに　よみがえる。"
ID_TEXT_DAIJINAMONO_MIDORINOKIIENBUREMU,"{Character_Head}は　緑のキーエンブレムを<cf>じっくり　ながめてみた。<br><cf>風の町アズランでの　冒険の思い出が<cf>あざやかに　よみがえる。"
ID_TEXT_DAIJINAMONO_SAKURANOKIIENBUREMU,"{Character_Head}は　桜のキーエンブレムを<cf>じっくり　ながめてみた。<br><cf>王都カミハルムイでの　冒険の思い出が<cf>あざやかに　よみがえる。"
