Key,SourceString
SYSTXT_WARP_RIREMITO_00010,"リレミトをとなえて\nダンジョンから　ぬけだしますか？\n<yesno><break>"
SYSTXT_WARP_RIREMITO_00020,"Yes"
SYSTXT_WARP_RIREMITO_00030,"No"
SYSTXT_WARP_RIREMITO_01010,"{Character_Name}は　リレミトをとなえた！\n<break>"
SYSTXT_WARP_RIREMITO_01020,"{Character_Name}は　おもいでのすずをつかった！"
SYSTXT_WARP_RIREMITO_01030,"{Character_Name}は　おもいでのすずを\n道具として　使ってみた。"
SYSTXT_WARP_RIREMITO_02010,"しかし　ここでは　何も　おこらなかった。\n<end>"
SYSTXT_WARP_RIREMITO_02020,"リレミトをとなえて\nダンジョンから　ぬけだしますか？\n<yesno><break>"
SYSTXT_WARP_RIREMITO_02030,"しかし　ふしぎなチカラで　かき消された！\n<end>"
SYSTXT_WARP_RIREMITO_21010,"このままダンジョンから脱出します。\nよろしいですか？\n<yesno><close>"
