Key,SourceString
SYSTXT_WARP_RURA_00010,"ルーラストーン"
SYSTXT_WARP_RURA_00020,"目の前に　不思議な石碑が浮かんでいる。<lf>{Character_Name}が　石碑に近づくと<lf>持っていたルーラストーンが　輝きだした。<br_break>"
SYSTXT_WARP_RURA_00030,"どうやら　この場所で念じれば<lf>ルーラストーンに飛び先として<lf>記憶させることが　できるようだ。<br_break>"
SYSTXT_WARP_RURA_00040,"ルーラストーンに<lf>{Place_Name}を　記憶させますか？<lf><yesno><break>"
SYSTXT_WARP_RURA_00050,"{Character_Name}は　ルーラストーンを持ち　念じた。<lf><break>"
SYSTXT_WARP_RURA_00060,"ルーラストーンに<lf>{Place_Name}を　記憶させました。<lf><end>"
SYSTXT_WARP_RURA_00070,"すでに　この場所は<lf>ルーラストーンに記憶されているようだ。<lf><end>"
SYSTXT_WARP_RURA_00080,"{Character_Name}は　ルーラストーンに<lf>記憶させるのをやめた。<lf><end>"
SYSTXT_WARP_RURA_00090,"石碑は　静かに　たたずんでいる。<lf><end>"
SYSTXT_WARP_RURA_00100,"しかし　ふしぎなチカラで　かき消された！<lf><end>"
SYSTXT_WARP_RURA_01010,"どこへ？"
SYSTXT_WARP_RURA_01020,"お気に入り登録"
SYSTXT_WARP_RURA_01030,"施設"
SYSTXT_WARP_RURA_01040,"大陸名"
SYSTXT_WARP_RURA_01050,"お気に入り"
SYSTXT_WARP_RURA_01060,"（未登録）"
SYSTXT_WARP_RURA_01070,"選択した項目を　追加する場所を選んでください。<lf><break>"
SYSTXT_WARP_RURA_01080,"項目を追加しました。<lf><end>"
SYSTXT_WARP_RURA_01090,"その項目は　すでに<lf>お気に入りに追加されています。<lf><end>"
SYSTXT_WARP_RURA_01100,"その項目には　すでに<lf>登録されている場所があります。<lf>上書きしてしまって　よいですか？<lf><yesno><break>"
SYSTXT_WARP_RURA_01110,"配置を入れ替える"
SYSTXT_WARP_RURA_01120,"その項目には　まだ場所が追加されていません。<lf><end>"
SYSTXT_WARP_RURA_01130,"位置を変更したい項目を　選んでください。<lf><break>"
SYSTXT_WARP_RURA_01140,"入れ替え先を　選んでください。<lf><break>"
SYSTXT_WARP_RURA_01150,"配置入れ替え終了"
SYSTXT_WARP_RURA_01160,"{Character_Name}はルーラストーンを使った。<lf><end>"
SYSTXT_WARP_RURA_01170,"{Location_Name}へ<lf>ルーラで移動しても　よろしいですか？<lf><yesno><break>"
SYSTXT_WARP_RURA_01180,"{Character_Name}は　天井に　あたまをぶつけた。<lf><end>"
SYSTXT_WARP_RURA_01190,"違う時代へ　移動することは　できません！"
SYSTXT_WARP_RURA_01200,"ここでは頭をぶつけそうだ"
SYSTXT_WARP_RURA_02000,"地図をみる"
SYSTXT_WARP_RURA_02010,"メニューに戻る"
