Key,SourceString
ACTION_NO_IO,"Bang"
ACTION_NO_IONAZUN,"Kaboom"
ACTION_NO_IORA,"Boom"
ACTION_NO_KIARI,"Squelch"
ACTION_NO_KIARIKU,"Tingle"
ACTION_NO_GIRA,"Sizz"
ACTION_NO_KUMONO,"Web Trap"
ACTION_NO_ZAORA,"Zin"
ACTION_NO_ZAORARU,"Zing"
ACTION_NO_ZAORIKU,"Kazing"
ACTION_NO_ZAKI,"Whack"
ACTION_NO_ZAMEHA,"Cock-a-doodle-doo"
ACTION_NO_ZIBARIA,"Rubblerouser"
ACTION_NO_ZIBARINA,"Mountainmover"
ACTION_NO_ZIBARIKA,"Boulderbringer"
ACTION_NO_ZIBARUNBA,"Ridgeraiser"
ACTION_NO_SUKARA,"Buff"
ACTION_NO_SUKURUTO,"Kabuff"
ACTION_NO_ZUSSIDO,"Thunk"
ACTION_NO_DIVINESPELL,"Anathematise"
ACTION_NO_DORUKUMA,"Zammle"
ACTION_NO_DORUMA,"Zam"
ACTION_NO_DORUMOA,"Kazam"
ACTION_NO_BAHA,"Insulate"
ACTION_NO_BAIKIRUTO,"Oomphle"
ACTION_NO_BAISION,"Oomph"
ACTION_NO_BAGI,"Woosh"
ACTION_NO_BAGIKUROSU,"Kaswoosh"
ACTION_NO_BAGIMA,"Swoosh"
ACTION_NO_BAGIMUTYO,"Kaswooshle"
ACTION_NO_PIORA,"Accelerate"
ACTION_NO_PIORIMU,"Acceleratle"
ACTION_NO_HYADARUKO,"Crackle"
ACTION_NO_HYADO,"Crack"
ACTION_NO_HUBAHA,"Insulatle"
ACTION_NO_BEGIRAGON,"Kasizz"
ACTION_NO_BEGIRAMA,"Sizzle"
ACTION_NO_HENATOSU,"Blunt"
ACTION_NO_BEHOIMI,"Midheal"
ACTION_NO_BEHOIMU,"Moreheal"
ACTION_NO_BEHOMARA,"Multiheal"
ACTION_NO_HOIMI,"Heal"
ACTION_NO_BOMIE,"Decelerate"
ACTION_NO_BOMIOSU,"Deceleratle"
ACTION_NO_MAGICBARRIER,"Magic Barrier"
ACTION_NO_MANUSA,"Dazzle"
ACTION_NO_MANUHA,"Dedazzle"
ACTION_NO_MAHYADO,"Kacrack"
ACTION_NO_MAHOKANTA,"Bounce"
ACTION_NO_MAHOKITE,"Absorb Magic"
ACTION_NO_MAHOSUTE,"Snub"
ACTION_NO_MAHOTAN,"Bound"
ACTION_NO_MAHOTON,"Fizzle"
ACTION_NO_MAHOTORA,"Drain Magic"
ACTION_NO_MAHORI,"Defizzle"
ACTION_NO_MEDAPANI,"Fuddle"
ACTION_NO_MEDAPANIMA,"Kafuddle"
ACTION_NO_MERA,"Frizz"
ACTION_NO_MERAZOMA,"Kafrizz"
ACTION_NO_MERAMI,"Frizzle"
ACTION_NO_RARIHO,"Snooze"
ACTION_NO_RARIHOMA,"Kasnooze"
ACTION_NO_RIBEHOIMI,"Remidheal"
ACTION_NO_RIBEHOIMU,"Remoreheal"
ACTION_NO_RIHOIMI,"Reheal"
ACTION_NO_RUKANAN,"Kasap"
ACTION_NO_RUKANI,"Sap"
ACTION_NO_BEHOMA,"Fullheal"
ACTION_NO_BEHOMAZUN,"Omniheal"
ACTION_NO_DEIN,"Zap"
ACTION_NO_DORUMADON,"Kazammle"
ACTION_NO_M_DORUMADON_NUM3,"Kazammle Barrage"
ACTION_NO_GIGADEIN,"Kazap"
ACTION_NO_M_GIRAGUREIDO,"Kasizzle"
ACTION_NO_IOGURANDE,"Kaboomle"
ACTION_NO_MADANTE,"Magic Burst"
ACTION_NO_MAHYADEDOSU,"Kacrackle"
ACTION_NO_MEGANTE,"Kamikazee"
ACTION_NO_MEGAZARU,"Kerplunk"
ACTION_NO_MERAGAIA,"Kafrizzle"
ACTION_NO_M_MERAGAIA_NUM3,"Godspeed Kafrizzle"
ACTION_NO_MERASTORM,"Kerfrizz"
ACTION_NO_M_RAIDEIN,"Zapple"
ACTION_NO_ZARAKI,"Thwack"
ACTION_NO_ZARAKIMA,"Kathwack"
ACTION_NO_ZIGODEIN,"Kazapstrophe"
ACTION_NO_RIREMITO,"Evac"
ACTION_NO_M_DORUMOA_NUM3,"Kazam Barrage"
