Key,SourceString
PA_ACTION_NO_I_AMORUNOMIZU,"Amor Seco Essence"
PA_ACTION_NO_I_BASHOUSEN,"Frond Fan"
PA_ACTION_NO_I_BOOK_BABYSATAN,"Scouting Book"
PA_ACTION_NO_I_BOOK_BATTLEREX,"Scouting Book"
PA_ACTION_NO_I_BOOK_BROWNIE,"Scouting Book"
PA_ACTION_NO_I_BOOK_DEVILARMOR,"Scouting Book"
PA_ACTION_NO_I_BOOK_DORAKY,"Scouting Book"
PA_ACTION_NO_I_BOOK_DRAGONKID,"Scouting Book"
PA_ACTION_NO_I_BOOK_ENTASHISUMAN,"Scouting Book"
PA_ACTION_NO_I_BOOK_FONDU,"Scouting Book"
PA_ACTION_NO_I_BOOK_GOLEM,"Scouting Book"
PA_ACTION_NO_I_BOOK_HITOKUISABER,"Scouting Book"
PA_ACTION_NO_I_BOOK_HOIMISLIME,"Scouting Book"
PA_ACTION_NO_I_BOOK_ITAZURAMOGURA,"Scouting Book"
PA_ACTION_NO_I_BOOK_KILLERMACHINE,"Scouting Book"
PA_ACTION_NO_I_BOOK_KILLERPANSER,"Scouting Book"
PA_ACTION_NO_I_BOOK_KIMERA,"Scouting Book"
PA_ACTION_NO_I_BOOK_MAGIKALHAT,"Scouting Book"
PA_ACTION_NO_I_BOOK_METAPPI,"Scouting Book"
PA_ACTION_NO_I_BOOK_MIMIC,"Scouting Book"
PA_ACTION_NO_I_BOOK_MISTERYDOLL,"Scouting Book"
PA_ACTION_NO_I_BOOK_MOMON,"Scouting Book"
PA_ACTION_NO_I_BOOK_NEKOMADOU,"Scouting Book"
PA_ACTION_NO_I_BOOK_NIDORUMAN,"Scouting Book"
PA_ACTION_NO_I_BOOK_ODORUHOUSEKI,"Scouting Book"
PA_ACTION_NO_I_BOOK_PAPETMAN,"Scouting Book"
PA_ACTION_NO_I_BOOK_PRIESTKNIGHT,"Scouting Book"
PA_ACTION_NO_I_BOOK_PURIZUNYAN,"Scouting Book"
PA_ACTION_NO_I_BOOK_RIZARDMAN,"Scouting Book"
PA_ACTION_NO_I_BOOK_SAMAYOUYOROI,"Scouting Book"
PA_ACTION_NO_I_BOOK_SLIME,"Scouting Book"
PA_ACTION_NO_I_BOOK_SLIMEKNIGHT,"Scouting Book"
PA_ACTION_NO_I_BOOK_TAKEYARIHEI,"Scouting Book"
PA_ACTION_NO_I_BOOK_TANSUMIMIC,"Scouting Book"
PA_ACTION_NO_I_BOOK_YAMISHIBARI,"Scouting Book"
PA_ACTION_NO_I_COOK_EAT_DESSERT,"Quick Cake"
PA_ACTION_NO_I_COOK_EAT_DON,"Mega Rice Bowl"
PA_ACTION_NO_I_COOK_EAT_EGG,"Evasion Omelet"
PA_ACTION_NO_I_COOK_EAT_FISH,"Mending Meuniere"
PA_ACTION_NO_I_COOK_EAT_PASTA,"Mana Pasta"
PA_ACTION_NO_I_COOK_EAT_PILAF,"Stamina Rice"
PA_ACTION_NO_I_COOK_EAT_SALAD,"Guardian Salad"
PA_ACTION_NO_I_COOK_EAT_SANDWICH,"Deft Meat Buns"
PA_ACTION_NO_I_COOK_EAT_STEAK,"Powerful Steak"
PA_ACTION_NO_I_COOK_EAT_STEW_BROWN,"Magic Soup"
PA_ACTION_NO_I_COOK_EAT_STEW_WHITE,"Soothing Soup"
PA_ACTION_NO_I_DOKUGANOKONA,"Coagulant"
PA_ACTION_NO_I_DOKUKESISOU,"Antidotal Herb"
PA_ACTION_NO_I_DORAGONNOTSUE,"Wyrmwand"
PA_ACTION_NO_I_ERUHUNONOMIGUSURI,"Elfin Elixir"
PA_ACTION_NO_I_FUKUINNOTSUE,"Staff of Salvation"
PA_ACTION_NO_I_GENKIDAMA,"Bonus Orb"
PA_ACTION_NO_I_HAJYANOTSURUGI,"Cautery Sword"
PA_ACTION_NO_I_HIKARINOTSUE,"Bright Staff"
PA_ACTION_NO_I_HONOONOTSUME,"Fire Claws"
PA_ACTION_NO_I_IKAZUCHINOTSUE,"Lightning Staff"
PA_ACTION_NO_I_IYASISOU,"Superior Medicine"
PA_ACTION_NO_I_JYOUDOKUKESISOU,"Strong Antidote"
PA_ACTION_NO_I_JYOUYAKUSOU,"Strong Medicine"
PA_ACTION_NO_I_KEIRONNOYUMI,"Cheiron's Bow"
PA_ACTION_NO_I_KENJANO_SEISUI,"Sage's Elixir"
PA_ACTION_NO_I_KENJYANOTSUE,"Sage's Staff"
PA_ACTION_NO_I_KITUKESOU,"Softwort"
PA_ACTION_NO_I_KOORINOTSUE,"Shiverstick"
PA_ACTION_NO_I_KOORINOTSUME,"Ice Claws"
PA_ACTION_NO_I_KOORINOYAIBA,"Icicle Dirk"
PA_ACTION_NO_I_KOSUI_KISEKI,"Miracle Perfume"
PA_ACTION_NO_I_KOSUI_METAL,"Metal Perfume"
PA_ACTION_NO_I_MADARAKUMOITO,"Tangleweb"
PA_ACTION_NO_I_MADOUSHINOTSUE,"Wizard's Staff"
PA_ACTION_NO_I_MAGUMANOTSUE,"Magma Staff"
PA_ACTION_NO_I_MAHOUNO_KOBIN,"Single Phial"
PA_ACTION_NO_I_MAHOUNO_KOBIN_4500,"Spirit Elixir"
PA_ACTION_NO_I_MAHOUNO_SEISUI,"Magic Water"
PA_ACTION_NO_I_MAHUJINOTSUE,"Staff of Antimagic"
PA_ACTION_NO_I_MANGETUSOU,"Moonwort Bulb"
PA_ACTION_NO_I_MEZAMENOHANA,"Wakerobin"
PA_ACTION_NO_I_MP_HEAL_90,"Faerie Elixir"
PA_ACTION_NO_I_OMOIDENOSUZU_1,"Evac-u-Bell"
PA_ACTION_NO_I_OTAKARASAGASI_SUZU,"Treasure Eye Land Bell"
PA_ACTION_NO_I_OYABUNNOOOTATE,"Big Boss Shield"
PA_ACTION_NO_I_PIORANOTSUE,"Rod of Rapidity"
PA_ACTION_NO_I_SABAKINOTSUE,"Staff of Sentencing"
PA_ACTION_NO_I_SAJINNOYARI,"Sandstorm Spear"
PA_ACTION_NO_I_SEIRENNOTSUE,"Siren's Staff"
PA_ACTION_NO_I_SEKAIJYUNOHA,"Yggdrasil Leaf"
PA_ACTION_NO_I_SEKAIJYUNOSIZUKU,"Yggdrasil Dew"
PA_ACTION_NO_I_TANE,"Seed"
PA_ACTION_NO_I_TENSINOSUZU,"Angel Bell"
PA_ACTION_NO_I_TOKUDOKUKESISOU,"Special Antidote"
PA_ACTION_NO_I_TOKUSAN1,"Moon Desert Dessert"
PA_ACTION_NO_I_TOKUSAN10,"Grand Titus Bowl"
PA_ACTION_NO_I_TOKUSAN11,"Coliseum Burger"
PA_ACTION_NO_I_TOKUSAN12,"Summer Coconut"
