Key, SourceString
EVENTTEXT_CONVERT_KYODAI_REL2_01,"Lil Bro"
EVENTTEXT_CONVERT_KYODAI_REL2_02,"Big Bro"
EVENTTEXT_CONVERT_KYODAI_REL2_03,"Big Sis"
EVENTTEXT_CONVERT_KYODAI_REL2_04,"Lil Sis"
EVENTTEXT_CONVERT_KYODAI_REL3_01,"Lil Bro"
EVENTTEXT_CONVERT_KYODAI_REL3_02,"Big Bro"
EVENTTEXT_CONVERT_KYODAI_REL3_03,"Big Sis"
EVENTTEXT_CONVERT_KYODAI_REL3_04,"Lil Sis"
EVENTTEXT_CONVERT_RACE_ELF,"Elf"
EVENTTEXT_CONVERT_RACE_WED,"Weddie"
EVENTTEXT_CONVERT_RACE_PUK,"Pukuripo"
EVENTTEXT_CONVERT_RACE_DWF,"Dwarf"
EVENTTEXT_CONVERT_RACE_HUM,"Human"
EVENTTEXT_CONVERT_RACE_OGR,"Ogre"
