Key,SourceString
BattleUI_Fight,"Fight"
BattleUI_Escape,"Escape"
BattleUI_Strategy,"Tactics"
BattleUI_Swap,"Swap"
BattleUI_SpecialSkill,"Abilities"
BattleUI_Defense,"Defense"
BattleUI_Config,"Configuration"
BattleUI_Status,"Status"
BattleUI_Back,"Back"
BattleUI_Attack,"Attack"
BattleUI_ConsumptionMP,"MP Cost"
BattleUI_DeathBlow,"Coup de Grace"
BattleUI_ConsumptionTension,"Tension Cost"
BattleUI_NumItems,"Number of Items"
BattleUI_Number,"{0}"
BattleUI_Monsters,"{0}"
BattleUI_Omakase,"Auto"
BattleUI_EquipEquip,"Equip"
BattleUI_EquipRemove,"Remove"
BattleUI_EquipCancel,"Cancel"
BattleUI_BattleSpeed,"Battle Speed"
BattleUI_BattleSpeed_Normal,"Normal"
BattleUI_BattleSpeed_Fast,"Fast"
BattleUI_BattleSpeed_VeryFast,"Very Fast"
BattleUI_Decide,"Decide"
BattleUI_BattleSpeed_Explanation,"Change battle\nspeed."
BattleUI_ConditionViewer,"Status (Battlers)"
BattleUI_ConditionNormal,"(Normal)"
BattleUI_ConditionViewer2,"Status (Standby)"
BattleUI_ChangeBattleMember,"Change Line-Up"
BattleUI_Plan_Normal,"Tactics"
BattleUI_Plan_Auto,"Auto"
BattleUI_ConsumptionGold,"Gold Cost"
BattleUI_GiveUp,"Give Up"
BattleUI_GiveUp_Confirm,"Give up the battle?\nIf you give up, the battle is considered lost."
BattleUI_GiveUp_Confirm_AutoDung,"Give up the battle?\nIf you give up, the battle is considered lost.\n(You won't lose any Gold.)"
BattleUI_GiveUp_Yes,"Yes"
BattleUI_GiveUp_No,"No"
BattleUI_Percent,"％"
