Key,SourceString
SystemTest,"System Test"
MainUI_Dougu,"Items"
MainUI_Equip,"Equip"
MainUI_Status,"Stats"
MainUI_Jumon,"Spells"
MainUI_CareerHistory,"Records"
MainUI_Sakusen,"Misc."
SYSTXT_STATUS_10070,"Max HP"
SYSTXT_STATUS_10080,"Max MP"
SYSTXT_STATUS_10100,"Attack (Right)"
SYSTXT_STATUS_10110,"Attack (Left)"
SYSTXT_STATUS_10120,"Defense"
SYSTXT_STATUS_10130,"Mag. Might"
SYSTXT_STATUS_10140,"Mag. Mending"
SYSTXT_STATUS_10150,"Strength"
SYSTXT_STATUS_10160,"Resilience"
SYSTXT_STATUS_10170,"Agility"
SYSTXT_STATUS_10180,"Deftness"
SYSTXT_STATUS_10190,"Charm"
SYSTXT_STATUS_10200,"Stat Points"
SYSTXT_STATUS_10010,"Stats Details"
SYSTXT_STATUS_10020,"Base"
SYSTXT_STATUS_10030,"Equip"
SYSTXT_STATUS_10040,"Set"
SYSTXT_STATUS_10050,"Skill Points"
SYSTXT_STATUS_10060,"Seed"
SYSTXT_STATUS_20010,"Resistances"
SYSTXT_STATUS_20060,"Food Buff"
SYSTXT_STATUS_10260,"Resistances"
SYSTXT_STATUS_10270,"Return"
SYSTXT_STATUS_20140,"Vocations"
SYSTXT_STATUS_30010,"Vocations"
SYSTXT_STATUS_30030,"Spells"
SYSTXT_STATUS_40010,"Spells:"
SYSTXT_STATUS_40020,"Job name"
SYSTXT_STATUS_40030,"Vocations"
SYSTXT_STATUS_40040,"Page view"
SYSTXT_STATUS_40080,"Skill Points"
SYSTXT_STATUS_50010,"Skill Points:"
SYSTXT_STATUS_50020,"Skill name"
SYSTXT_STATUS_50030,"Skill point use"
SYSTXT_STATUS_50040,"Job name"
SYSTXT_STATUS_50050,"Page view"
SYSTXT_STATUS_50090,"Blacksmithing"
SYSTXT_STATUS_60010,"Blacksmithing"
SYSTXT_STATUS_60060,"Fishing"
SYSTXT_STATUS_80010,"Gold"
SYSTXT_STATUS_70010,"Coliseum/Fishing"
SYSTXT_STATUS_70020,"Coliseum rank"
SYSTXT_STATUS_70040,"Coliseum EXP:"
SYSTXT_STATUS_70060,"To Next Rank:"
SYSTXT_STATUS_70080,"Fishing"
SYSTXT_STATUS_70100,"Fishing EXP:"
SYSTXT_STATUS_70120,"Next Level:"
SYSTXT_STATUS_70140,"Stats Details"
SYSTXT_STATUS_80030,"Gold in Bank"
SYSTXT_STATUS_80050,"Mini Medal"
SYSTXT_STATUS_80070,"Casino Tokens"
SYSTXT_STATUS_80090,"Fish Coins"
SYSTXT_STATUS_80100,"Jewels"
SYSTXT_STATUS_80120,"Resurrection point"
SYSTXT_PARTY_MAIN_00010,"Member order"
SYSTXT_PARTY_MAIN_00020,"Party members"
SYSTXT_PARTY_MAIN_00060,"HP"
SYSTXT_PARTY_MAIN_00080,"MP"
SYSTXT_PARTY_MAIN_00100,"Standby"
SYSTXT_PARTY_MAIN_00130,"HP"
SYSTXT_PARTY_MAIN_00170,"Guests"
SYSTXT_PARTY_MAIN_00150,"MP"
SYSTXT_PARTY_MAIN_00200,"HP"
SYSTXT_PARTY_MAIN_00220,"MP"
SYSTXT_PARTY_MAIN_00240,"Stats"
SYSTXT_PARTY_MAIN_00250,"Max HP"
SYSTXT_PARTY_MAIN_00260,"Max MP"
SYSTXT_PARTY_MAIN_00270,"Attack"
SYSTXT_PARTY_MAIN_00280,"Attack (Right)"
SYSTXT_PARTY_MAIN_00290,"Attack (Left)"
SYSTXT_PARTY_MAIN_00300,"Defense"
SYSTXT_PARTY_MAIN_00310,"Mag. Might"
SYSTXT_PARTY_MAIN_00320,"Mag. Mending"
SYSTXT_PARTY_MAIN_00330,"Strength"
SYSTXT_PARTY_MAIN_00340,"Resilience"
SYSTXT_PARTY_MAIN_00350,"Agility"
SYSTXT_PARTY_MAIN_00360,"Deftness"
SYSTXT_PARTY_MAIN_00370,"Charm"
SYSTXT_PARTY_MAIN_00390,"Confirm"
SYSTXT_PARTY_MAIN_10010,"Check Stats"
SYSTXT_PARTY_MAIN_20010,"Status (Party members)"
SYSTXT_PARTY_MAIN_20020,"Status (Standby)"
SYSTXT_PARTY_MAIN_20030,"Status (Guests)"
SYSTXT_MESSAGE_MAIN_00010,"Yes"
SYSTXT_MESSAGE_MAIN_00020,"No"
