Key,SourceString
SYSTXT_PLACENAME_00001,"Ethene Village"
SYSTXT_PLACENAME_00002,"Hometown"
SYSTXT_PLACENAME_00003,"Azlan"
SYSTXT_PLACENAME_00004,"Kamiharumui"
SYSTXT_PLACENAME_00005,"Hometown"
SYSTXT_PLACENAME_00006,"Julet"
SYSTXT_PLACENAME_00007,"Verinard"
SYSTXT_PLACENAME_00008,"Hometown"
SYSTXT_PLACENAME_00009,"Glen"
SYSTXT_PLACENAME_00010,"Gartlant"
SYSTXT_PLACENAME_00011,"Hometown"
SYSTXT_PLACENAME_00012,"Orphea"
SYSTXT_PLACENAME_00013,"Megistris"
SYSTXT_PLACENAME_00014,"Hometown"
SYSTXT_PLACENAME_00015,"Gatara"
SYSTXT_PLACENAME_00016,"Dolworm"
SYSTXT_PLACENAME_00017,"Hollow's Encounter"
