Key,SourceString
SYSTXT_CHARAMAKE_HUMAN_00010,"You"
SYSTXT_CHARAMAKE_HUMAN_01010,"Sibling"
SYSTXT_CHARAMAKE_HUMAN_02010,"You will now create <cf> two characters, your own character and <cf> a sibling character who will live with you."
SYSTXT_CHARAMAKE_HUMAN_42010,"Next, create your sibling character."
SYSTXT_CHARAMAKE_HUMAN_82010,"With these two characters, we will create an Adventure Log. <cf>Are you sure?"
SYSTXT_CHARAMAKE_HUMAN_83010,"Which character would you like to recreate?"
SYSTXT_CHARAMAKE_HUMAN_84010,"You will return to the Adventure Log selection <cf>without saving your character? <lf><yesno 2><break>"
SYSTXT_CHARAMAKE_HUMAN_12010,"Please select the gender of your character."
SYSTXT_CHARAMAKE_HUMAN_52010,"What is your relationship to your sibling from your perspective?"
SYSTXT_CHARAMAKE_HUMAN_22010,"Please select your character's body type."
SYSTXT_CHARAMAKE_HUMAN_62010,"Please select your sibling's body type."
SYSTXT_CHARAMAKE_HUMAN_30150,"Create your character by selecting the areas you would like to change<cf>."
SYSTXT_CHARAMAKE_HUMAN_30020,"Body color"
SYSTXT_CHARAMAKE_HUMAN_30040,"Head color"
SYSTXT_CHARAMAKE_HUMAN_30060,"Color of the head"
SYSTXT_CHARAMAKE_HUMAN_30080,"Color of face"
SYSTXT_CHARAMAKE_HUMAN_30100,"Color of eyes"
SYSTXT_CHARAMAKE_HUMAN_30120,"Name"
SYSTXT_CHARAMAKE_HUMAN_30140,"Determination"
SYSTXT_CHARAMAKE_HUMAN_31020,"Pick your character's body color."
SYSTXT_CHARAMAKE_HUMAN_33020,"Pick your character's hair color."
SYSTXT_CHARAMAKE_HUMAN_35020,"Please select your character's eye color."
SYSTXT_CHARAMAKE_HUMAN_30030,"Color {0}"
SYSTXT_CHARAMAKE_HUMAN_30070_02,"Blonde"
SYSTXT_CHARAMAKE_HUMAN_30070_01,"Caramel color"
SYSTXT_CHARAMAKE_HUMAN_30070_03,"Green apple"
SYSTXT_CHARAMAKE_HUMAN_30070_04,"Jade"
SYSTXT_CHARAMAKE_HUMAN_30070_05,"Aquamarine"
SYSTXT_CHARAMAKE_HUMAN_30070_06,"Aquamarine"
SYSTXT_CHARAMAKE_HUMAN_30070_07,"Lavender"
SYSTXT_CHARAMAKE_HUMAN_30070_08,"Peach"
SYSTXT_CHARAMAKE_HUMAN_30070_09,"Usubi"
SYSTXT_CHARAMAKE_HUMAN_30070_10,"Cherry"
SYSTXT_CHARAMAKE_HUMAN_30070_11,"Black"
SYSTXT_CHARAMAKE_HUMAN_30070_12,"Vanilla"
SYSTXT_CHARAMAKE_HUMAN_30110_02,"Cherry"
SYSTXT_CHARAMAKE_HUMAN_30110_05,"Red"
SYSTXT_CHARAMAKE_HUMAN_30110_08,"Blonde"
