Key,SourceString
SYSTXT_SYSTEM_BLACKSMITH_00010,"Perfectionist's Pearls"
SYSTXT_SYSTEM_BLACKSMITH_00020,"Weapon"
SYSTXT_SYSTEM_BLACKSMITH_00030,"Armor"
SYSTXT_SYSTEM_BLACKSMITH_00040,"Clothes - Chest"
SYSTXT_SYSTEM_BLACKSMITH_00050,"Clothes - Legs"
SYSTXT_SYSTEM_BLACKSMITH_00060,"Armour - Chest"
SYSTXT_SYSTEM_BLACKSMITH_00070,"Armour - Legs"
SYSTXT_SYSTEM_BLACKSMITH_00080,"Make What?"
SYSTXT_SYSTEM_BLACKSMITH_00090,"Materials Required"
SYSTXT_SYSTEM_BLACKSMITH_00100,"Needed"
SYSTXT_SYSTEM_BLACKSMITH_00110,"Owned"
SYSTXT_SYSTEM_BLACKSMITH_00120,"Craft"
SYSTXT_SYSTEM_BLACKSMITH_00130,"Purchase Missing Materials"
SYSTXT_SYSTEM_BLACKSMITH_00140,"Pearls Needed"
SYSTXT_SYSTEM_BLACKSMITH_00150,"Some of these items can't be bought"
SYSTXT_SYSTEM_BLACKSMITH_00160,"Which One?"
SYSTXT_SYSTEM_BLACKSMITH_00170,"In Equipment Bag"
SYSTXT_SYSTEM_BLACKSMITH_00180,"Do What?"
SYSTXT_SYSTEM_BLACKSMITH_00190,"Browse Materials"
SYSTXT_SYSTEM_BLACKSMITH_00200,"Forge Weapon"
SYSTXT_SYSTEM_BLACKSMITH_00210,"Forge Armor"
SYSTXT_SYSTEM_BLACKSMITH_00220,"Rework an Item"
SYSTXT_SYSTEM_BLACKSMITH_00230,"Craft New Equipment"
SYSTXT_SYSTEM_BLACKSMITH_00240,"Rework an Item"
SYSTXT_SYSTEM_BLACKSMITH_00250,"Rework What?"
SYSTXT_SYSTEM_BLACKSMITH_01010,"You haven't learned that recipe yet!"
SYSTXT_SYSTEM_BLACKSMITH_10010,"Bash"
SYSTXT_SYSTEM_BLACKSMITH_10020,"Flourishes"
SYSTXT_SYSTEM_BLACKSMITH_10030,"Appraise"
SYSTXT_SYSTEM_BLACKSMITH_10040,"Finish"
SYSTXT_SYSTEM_BLACKSMITH_10050,"Master Stroke"
SYSTXT_SYSTEM_BLACKSMITH_10060,"Focus Cost"
SYSTXT_SYSTEM_BLACKSMITH_10070,"Temp."
SYSTXT_SYSTEM_BLACKSMITH_10080,"℃"
SYSTXT_SYSTEM_BLACKSMITH_11010,"Strike a single square<lf>at standard strength."
SYSTXT_SYSTEM_BLACKSMITH_11020,"Special forging<lf>abilities learned<lf>when leveling up."
SYSTXT_SYSTEM_BLACKSMITH_11030,"Take a closer look<lf>at the item you're<lf>currently crafting."
SYSTXT_SYSTEM_BLACKSMITH_11040,"Plunge the item into<lf>icy water, completing<lf>the crafting process."
SYSTXT_SYSTEM_BLACKSMITH_11050,"An exceptionally<lf>effective<lf>artisanal ability."
SYSTXT_SYSTEM_BLACKSMITH_20010,"It's the fun-Size Forge! You can use it<lf>to build brand-new equipment, or to<lf>rework your existing kit."
SYSTXT_SYSTEM_BLACKSMITH_20020,"Which item would you like to make?<lf><break>"
SYSTXT_SYSTEM_BLACKSMITH_20030,"The {Item_Selected_Name}?<lf>Are you sure?<lf><yesno><close>"
SYSTXT_SYSTEM_BLACKSMITH_20040,"Buy all the missing materials for<lf>{Gold_Need} gold coins and make a(n)<lf>{Item_Selected_Name}?<lf><yesno><close>"
SYSTXT_SYSTEM_BLACKSMITH_20050,"You need to reduce the amount you are<lf>holding to make that item.<lf><bw><close>"
SYSTXT_SYSTEM_BLACKSMITH_20060,"It looks like you can't afford to do<lf>that. The cost is {Gold_Need} gold coins...<lf><bw><close>"
SYSTXT_SYSTEM_BLACKSMITH_20070,"But you don't have the necessary<lf>materials.<lf><bw><close>"
SYSTXT_SYSTEM_BLACKSMITH_20080,"You don't have a high enough smithing<lf>level to make the<lf>{Item_Selected_Name}.<lf><bw><close>"
