Key,SourceString
SYSTXT_FACILITY_BAR_00010,"Register Self"
SYSTXT_FACILITY_BAR_00020,"Current Requests"
SYSTXT_FACILITY_BAR_10010,"Enter Friend Code"
SYSTXT_FACILITY_BAR_11010,"Previous"
SYSTXT_FACILITY_BAR_11020,"Next"
SYSTXT_FACILITY_BAR_11030,"To Top"
SYSTXT_FACILITY_BAR_11040,"To Bottom"
SYSTXT_FACILITY_BAR_11050,"Confirm"
SYSTXT_FACILITY_BAR_11060,"Register Friend"
SYSTXT_FACILITY_BAR_11070,"Previous Status"
SYSTXT_FACILITY_BAR_11080,"Current Status"
SYSTXT_FACILITY_BAR_20010,"View Friend"
SYSTXT_FACILITY_BAR_30010,"{pc} is now friends with<cf>{Friend_registered_Name}!<cf><bw_break>"
SYSTXT_FACILITY_BAR_30020,"{pc} received a request from<cf>'{Request_Form_Name}'!<lf><se_nots system Item><bw_break>"
SYSTXT_FACILITY_BAR_30030,"{pc} updated the information<cf>for {Friend_registered_Name}!<cf><bw_break>"
SYSTXT_FACILITY_BAR_30040,""{Request_Form_Name}'s Request Form"<cf>cannot be discarded because it is being<cf>requested by the Monster Strike Team!<cf><bw_break>"
