Key,SourceString
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_01010,"Slime"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_01020,"Teeny Sanguini"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_01030,"Dracky"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_01040,"Feralball"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_01050,"Hammerhood"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_01060,"Ornery Onion"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_01070,"Ghost"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_01080,"Meowgician"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_01090,"Winkster"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_01100,"Bubble Slime"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_01110,"Wax Murderer"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_01120,"Mecha-Mynah"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_01130,"Pickayune"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_01140,"Lickspittle"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_02010,"Robber Rabbit"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_02020,"Scarfish"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_02030,"Haardvark"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_02040,"Beakon"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_02050,"Spiked Hare"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_02060,"Bludgerigar"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_02070,"Acorn Baby"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_02080,"Drackolyte"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_02090,"Dancing Devil"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_02100,"Chimaera"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_02110,"Bag o' Laughs"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_02120,"Muddy Hand"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_02130,"Bambooligan"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_02140,"Gremlin"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_02150,"Foo Dog"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_03010,"King Slime"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_03020,"Rockbomb"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_03030,"Slime Knight"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_03040,"Tap Devil"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_03050,"Pink Sanguini"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_03060,"Squid Kid"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_03070,"Bodkin Bowyer"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_03080,"Rhinothrope"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_03090,"Ruff Ruffian"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_03100,"Pteranodon"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_03110,"Picksy"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_03120,"Jailcat"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_03130,"Wrecktor"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_03140,"Frolicker"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_03150,"Powie Yowie"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_03160,"Walking Corpse"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_04010,"Gum Shield"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_04020,"Treeface"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_04030,"Drackyma"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_04040,"Mandrake Major"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_04050,"Orc"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_04060,"Wild Chappy"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_04070,"Octopot"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_04080,"Skeleton"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_04090,"Summer Wolf"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_04100,"Incubus"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_04110,"Gamigin"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_04120,"Mudraker"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_04130,"Sweaty Yeti"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_04140,"Drag Racer"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_04150,"Marrow Escapee"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_05010,"Hunter Mech"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_05020,"Erazor Blade"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_05030,"Rhinoceraxe"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_05040,"Frostburn"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_05050,"Hell Conductor"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_05060,"Cureslime"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_05070,"Cosmic Chimaera"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_05080,"Draguar"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_05090,"Invisible Swordsman"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_05100,"Dark Skeleton"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_05110,"Armoured Ant"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_05120,"Ghoul"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_05130,"Orc King"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_05140,"Sculptrice"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_05150,"Killing Machine"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_05160,"Silvapithecus"
