Key,SourceString
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_1,"Colleen"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_2,"Napolo"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_3,"Maitako"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_4,"Kazakiri"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_5,"Sazanami"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_6,"Polipa"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_7,"Chakche"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_8,"Chechen"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_9,"Parley"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_10,"Eris"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_11,"Student Shiragi"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_12,"Explorer Elman"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_13,"Item Shop Einar"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_14,"Item Shop Maroc"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_15,"Blacksmith Batra"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_16,"Blacksmith Brendo"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_17,"Weapon Shop Flannoy"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_18,"Weapon Shop Barton"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_19,"Merchant Malcomess"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_20,"Merchant Cococha"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_21,"Merchant Yatche"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_22,"Weapon Shop Gilba"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_23,"Tycoon Bruno"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_24,"Farmer Bonappe"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_25,"Farmer Gonza"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_26,"Farmer Shigoro"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_27,"Farmer Sadakichi"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_28,"Woodcutter Poponce"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_29,"Woodcutter Jinbei"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_30,"Woodcutter Pepeta"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_31,"Twilight Malik"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_32,"Twilight Credo"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_33,"Twilight Rami"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_34,"Lost Cecilio"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_35,"Lost Carlos"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_36,"Lost Eurico"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_37,"Grieving Paris"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_38,"Grieving Loran"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_39,"Grieving Morris"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_40,"Sad Elaine"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_41,"Sad Herald"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_42,"Sad Damien"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_43,"Lonely Debbie"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_44,"Lonely Hosse"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_45,"Lonely Leo"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_46,"Sherika"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_47,"Irene"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_48,"Elaina"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_49,"Chacha"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_50,"Ajisai"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_51,"Kikira"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_52,"Hazakura"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_53,"Mamalily"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_54,"Innkeep Maggie"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_55,"Innkeep Hinagiku"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_56,"Hairdresser Papana"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_57,"Item Shop Sheri"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_58,"Material Shop Medori"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_59,"Material Shop Serina"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_60,"Furniture Shop Popo"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_61,"Dreaming Chokora"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_62,"Dreaming Hanon"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_63,"Dreaming Peony"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_64,"Erno in Love"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_65,"Betty in Love"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_66,"Melissa in Love"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_67,"Selfish Puula"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_68,"Selfish Nonno"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_69,"Lazy Lily"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_70,"Lazy Mary"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_71,"Lazy Ellie"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_72,"Madame Belle"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_73,"Madame Dania"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_74,"Madame Velor"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_75,"Madame Sally"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_76,"Mrs. Dorothea"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_77,"Mrs. Ennett"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_78,"Mrs. Zamas"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_79,"Mrs. Ammond"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_80,"Mrs. Ernesto"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_81,"Mrs. Beatrice"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_82,"Popona"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_83,"Mimi"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_84,"Amy"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_85,"Sugar"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_86,"Pipina"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_87,"Lulu"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_88,"Kukulu"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_89,"Neppy"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_90,"Kino"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_91,"Tack"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_92,"Pelta"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_93,"Totori"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_94,"Pista"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_95,"Porin"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_96,"Ricky"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_97,"Happi"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_98,"Grandpa Shim"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_99,"Grandpa Kome"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_100,"Grandpa Suki"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_101,"Grandpa Tony"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_102,"Grandpa Haku"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_103,"Grandpa Enei"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_104,"Grandpa Enn"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_105,"Grandpa Kami"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_106,"Grandpa Momi"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_107,"Grandpa Tesu"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_108,"Grandpa Osei"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_109,"Grandpa Kagefu"
