Key,SourceString
NAME_ID_MONSTER_COLOR_SURAIMU,"Slime Skin"
NAME_ID_MONSTER_COLOR_SURAIMUBESU,"She-Slime Skin"
NAME_ID_MONSTER_COLOR_METARUSURAIMU,"Metal Slime Skin"
NAME_ID_MONSTER_COLOR_PURIZUNYAN,"Jailcat Skin"
NAME_ID_MONSTER_COLOR_SHIMASHIMAKYATTO,"Candy Cat Skin"
NAME_ID_MONSTER_COLOR_BERONYAGO,"Terror Tabby Skin"
NAME_ID_MONSTER_COLOR_MABURUN,"Kaleidocat Skin"
NAME_ID_MONSTER_COLOR_KIMERA,"Chimaera Skin"
NAME_ID_MONSTER_COLOR_MEIJIKIMERA,"Hocus Chimaera Skin"
NAME_ID_MONSTER_COLOR_SUTAKIMERA,"Cosmic Chimaera Skin"
NAME_ID_MONSTER_COLOR_MUNKIMERA,"Lunar Chimaera Skin"
NAME_ID_MONSTER_COLOR_RIZADOMAN,"Mandrake Major Skin"
NAME_ID_MONSTER_COLOR_RYUUKIHEI,"Mandrake Mercenary Skin"
NAME_ID_MONSTER_COLOR_SHUPURINGA,"Mandrake Marshal Skin"
NAME_ID_MONSTER_COLOR_AKATSUKISHOUGUN,"Mandrake Murderer Skin"
NAME_ID_MONSTER_COLOR_HOIMISURAIMU,"Healslime Skin"
NAME_ID_MONSTER_COLOR_SHIBIREKURAGE,"Man o' War Skin"
NAME_ID_MONSTER_COLOR_BEHOMASURAIMU,"Cureslime Skin"
NAME_ID_MONSTER_COLOR_BEHOIMUSURAIMU,"Sootheslime Skin"
NAME_ID_MONSTER_COLOR_BEHOIMISURAIMU,"Medislime Skin"
NAME_ID_MONSTER_COLOR_METARUHOIMIN,"Metal Healie Skin"
NAME_ID_MONSTER_COLOR_BURAUNI,"Brownie Skin"
NAME_ID_MONSTER_COLOR_OOKIDUCHI,"Hammerhood Skin"
NAME_ID_MONSTER_COLOR_BURAKKUCHAKKU,"Dark Brownie Skin"
NAME_ID_MONSTER_COLOR_TOGEKONBOU,"Spiked Clubber Skin"
NAME_ID_MONSTER_COLOR_MOMON,"Teeny Sanguini Skin"
NAME_ID_MONSTER_COLOR_SUNOMOMON,"Snow Sanguini Skin"
NAME_ID_MONSTER_COLOR_PINKUMOMON,"Pink Sanguini Skin"
NAME_ID_MONSTER_COLOR_MAPORENA,"Genie Sanguini Skin"
NAME_ID_MONSTER_COLOR_TSUKUMOMON,"Shady Sanguini Skn"
NAME_ID_MONSTER_COLOR_BATORUREKKUSU,"Hacksaurus Skin"
NAME_ID_MONSTER_COLOR_AKKUSUDORAGON,"Axesaurus Skin"
NAME_ID_MONSTER_COLOR_PARADHINOSU,"Paladinsaurus Skin"
NAME_ID_MONSTER_COLOR_TOMAHOGA,"Halberdsaurus Skin"
NAME_ID_MONSTER_COLOR_SURAIMUNAITO,"Slime Knight Skin"
NAME_ID_MONSTER_COLOR_METARURAIDA,"Metal Slime Knight Skin"
NAME_ID_MONSTER_COLOR_HATONAITO,"Snooty Slime Knight Skin"
NAME_ID_MONSTER_COLOR_NEKOMADOU,"Meowgician Skin"
NAME_ID_MONSTER_COLOR_JYAGAMEIJI,"Clawcerer Skin"
NAME_ID_MONSTER_COLOR_BENGARUKUN,"Purrestidigitator Skin"
NAME_ID_MONSTER_COLOR_DAKUPERUSHA,"Whiskamancer Skin"
NAME_ID_MONSTER_COLOR_MIKEMADOU,"Caticonjurer Skin"
NAME_ID_MONSTER_COLOR_ITAZURAMOGURA,"Mischievous Mole Skin"
NAME_ID_MONSTER_COLOR_KIRASUKOPPU,"Mad Mole Skin"
