Key,SourceString
SYSTXT_CASINO_COIN_0010,"Welcome to the Casino, a gambler's<lf>paradise! This is the Casino Token<lf>Counter."
SYSTXT_CASINO_COIN_0011,"You can purchase Casino Tokens up to a<lf>maximum of 1000 tokens held."
SYSTXT_SYSTEM_COMMON_09200,"Gold"
SYSTXT_SYSTEM_COMMON_09210,"Tokens Held"
SYSTXT_SYSTEM_COMMON_09100," "
SYSTXT_COMMON,"G"
SYSTXT_CASINO_COIN_0020,"You currently have {Casinocoin} Casino Tokens."
SYSTXT_CASINO_COIN_0021,"You can buy up to a maximum of 1000 held<lf>Tokens. 1 Token is {Gold} Gold.<lf>How many would you like to buy?"
SYSTXT_CASINO_COIN_0022,"{Casinocoin} Tokens? That'll be {Gold} Gold.<lf>Is that okay?<lf><yesno><break>"
SYSTXT_CASINO_COIN_0023,"Hehe, thank you. May the goddess of<lf>fortune smile upon you!"
SYSTXT_CASINO_COIN_0024,"...Oh. It seems you are already carrying<lf>1000 or more Casino Tokens."
SYSTXT_CASINO_COIN_0025,"I apologize, but you cannot buy any<lf>Casino Tokens if you are carrying over<lf>1000 tokens."
SYSTXT_CASINO_COIN_0026,"If you run low on Tokens for any reason,<lf>please come back and see me."
SYSTXT_SYSTEM_COMMON_09220,"How many?"
SYSTXT_SYSTEM_COMMON_09230,"All"
SYSTXT_CASINO_COIN_0030,"Thank you for using our service. Please<lf>come back anytime."
SYSTXT_CASINOCOIN_TRADE_CONFIRM,"That will be {required} Tokens to exchange<lf>for that. Is that okay?"
SYSTXT_CASINOCOIN_TRADE_INSUFFICIENT,"You don't have enough Casino Tokens to<lf>exchange for that. Please choose another<lf>item."
SYSTXT_CASINOCOIN_TRADE_RESULT00,"The {itemname} now belongs<lf>to {pc}!"
SYSTXT_CASINOCOIN_TRADE_RESULT01,"{pc} received<lf>{itemname}!"
SYSTXT_CASINOCOIN_TRADE_RETRY,"Are there any other items you'd like to<lf>exchange?"
SYSTXT_CASINOCOIN_TRADE_00100,"Here you can exchange your Casino Tokens<lf>for prizes."
SYSTXT_CASINOCOIN_TRADE_00110,"You currently have<lf>{Casinocoin} Casino Tokens."
SYSTXT_CASINOCOIN_TRADE_00130,"You currently have..."
SYSTXT_CASINOCOIN_TRADE_00140,"Huh? You don't have even a single Casino<lf>Token."
SYSTXT_CASINOCOIN_TRADE_00150,"If you want any of these prizes listed,<lf>you'll need Casino Tokens."
SYSTXT_CASINOCOIN_TRADE_00160,"Thank you for your visit. We look<lf>forward to serving you again."
SYSTXT_CASINOCOIN_TRADE_00170,"If there's anything here you're<lf>interested in, I'll exchange it to you<lf>for Casino Tokens. However, items marked<lf><br><lf>in blue can only be exchanged for once.<lf><break>"
SYSTXT_CASINOCOIN_TRADE_00180,"Unfortunately, it seems that you can't<lf>hold any more.　Please choose another<lf>item."
SYSTXT_CASINOCOIN_TRADE_00190,"It is now possible to enter the VIP<lf>room!"
SYSTXT_CASINOCOIN_TRADE_00200,"Oh? It seems you are on a Draconian<lf>Quest that forbids the equipping of any<lf>armor. Are you sure you want this item?<lf><yesno><break>"
