Key,SourceString
SYSTXT_MOVE_TRAIN_SYS_00010,"Destinations"
SYSTXT_MOVE_TRAIN_SYS_10010,"Glen Castle Town Station"
SYSTXT_MOVE_TRAIN_SYS_10020,"Gartlant Castle Station"
SYSTXT_MOVE_TRAIN_SYS_10030,"Julet Station"
SYSTXT_MOVE_TRAIN_SYS_10040,"Verinard Castle Station"
SYSTXT_MOVE_TRAIN_SYS_10050,"Azlan Station"
SYSTXT_MOVE_TRAIN_SYS_10060,"Royal City Kamiharumui Station"
SYSTXT_MOVE_TRAIN_SYS_10070,"Gatara Station"
SYSTXT_MOVE_TRAIN_SYS_10080,"Dolworm Kingdom Station"
SYSTXT_MOVE_TRAIN_SYS_10090,"Orphea Station"
SYSTXT_MOVE_TRAIN_SYS_10100,"Megistris City Station"
SYSTXT_MOVE_TRAIN_SYS_10110,"Port Town Lendor Station"
SYSTXT_MOVE_TRAIN_SYS_10120,"Entertainment Island Luckland Station"
SYSTXT_MOVE_TRAIN_SYS_10130,"????"
