Key,SourceString
STT_PT_INOUT_GUEST_MAIYU,"Oh, you're going super far away, aren't you.\nWell, I'll wait here then."
STT_PT_INOUT_GUEST_ORDIS,"You have other business to attend to?\nPlease excuse me. I suppose I'll wait\nhere then."
STT_PT_INOUT_GUEST_DWURA,"I can't leave this country yet...\nI'll wait here, please hurry back!"
STT_PT_INOUT_GUEST_RUNANA,"Huh? Just where are you going!? I'm not\nleaving this spot! I'll be waiting for\nyou here!"
STT_PT_INOUT_GUEST_KYUUSUKE,"Oi, oi! Where're you going!? I'll wait\nhere for ya, tell you what."
STT_PT_INOUT_GUEST_RAGUASU,"Do you have business on another continent?\nOkay, well I'll wait here for you."
STT_PT_INOUT_GUEST_FOSUTEIRU,"Are you going to another continent? Hmm, if\nthat's the case, I will wait for you here."
STT_PT_INOUT_GUEST_EIDOS,"Hmm, got some odd jobs on another continent?\nI'll wait ya here then."
STT_PT_INOUT_GUEST_HYUZA,"Hey, you're going a hell of a long way,\naren't you. Fine, I'll be waiting for\nyou here."
STT_PT_INOUT_GUEST_SOMYA,"I'll go with Big Brother Hyūza too..."
STT_PT_INOUT_GUEST_KINNER,"Oh, I see! You are going to another\ncontinent! In that case, I shall await\nyour return here!"
STT_PT_INOUT_GUEST_FUURA,"Ah? Are you going to be leaving? Uhh,\nshould I wait here."
STT_PT_INOUT_GUEST_POIKKURINN,"I'm not going to leave from this continent...\nSo I'll wait here!"
STT_PT_INOUT_GUEST_DASUTON,"Wha? Another continent? Pass-pass! I pass\non that!! I'll wait here for ya!"
STT_PT_INOUT_GUEST_POTSUKONNICHIGOU,"Ah, if Mr. Duston stays, I will remain\nas well."
STT_PT_INOUT_GUEST_RASUKA,"Ahh, you're going to go away? Really...\nI'll wait for ya to get back then."
STT_PT_INOUT_GUEST_FIIRO,"Do you have other business? I can't\nneglect Liz. I will wait here."
STT_PT_INOUT_GUEST_SERAFI,"Eh? Are you going somewhere for a while?\nI'm worried about King Bermud and his\narena so I'll stay here."
STT_PT_INOUT_GUEST_MISHUA,"Oh my, you're leaving this place? Then\nI'll be waiting here."
