Key,SourceString
SYSTXT_LIST_QUEST_SYS_00010,"Current"
SYSTXT_LIST_QUEST_SYS_00020,"Featured"
SYSTXT_LIST_QUEST_SYS_00030,"Cleared"
SYSTXT_LIST_QUEST_SYS_01010,"[series Order]"
SYSTXT_LIST_QUEST_SYS_01020,"[ID Order]"
SYSTXT_LIST_QUEST_SYS_01030,"[Category Order]"
SYSTXT_LIST_QUEST_SYS_01040,"[Request Location Order]"
SYSTXT_LIST_QUEST_SYS_01050,"[Cleared Order]"
SYSTXT_LIST_QUEST_SYS_01060,"Sort by series"
SYSTXT_LIST_QUEST_SYS_01070,"Sort by ID"
SYSTXT_LIST_QUEST_SYS_01080,"Sort by Category"
SYSTXT_LIST_QUEST_SYS_01090,"Change Tab"
SYSTXT_LIST_QUEST_SYS_01100,"Request Location Display"
SYSTXT_LIST_QUEST_SYS_01110,"Accepted"
SYSTXT_LIST_QUEST_SYS_01120,"Featured"
SYSTXT_LIST_QUEST_SYS_01130,"Cleared"
SYSTXT_LIST_QUEST_SYS_01140,"Category Display"
SYSTXT_LIST_QUEST_SYS_01150,"Sort by Cleared"
SYSTXT_LIST_QUEST_SYS_02010,"Main Story"
SYSTXT_LIST_QUEST_SYS_02020,"Sub Story"
SYSTXT_LIST_QUEST_SYS_02030,"Super Useful Function"
SYSTXT_LIST_QUEST_SYS_02040,"Useful Function"
SYSTXT_LIST_QUEST_SYS_02050,"Job Quests"
SYSTXT_LIST_QUEST_SYS_02060,"No Quests"
SYSTXT_LIST_QUEST_SYS_02070,"No Featured Quests"
SYSTXT_LIST_QUEST_SYS_02080,"No Cleared Quests"
