Key,SourceString
SYSTXT_SHOP_DOUGU_43020,"WAR"
SYSTXT_SHOP_DOUGU_43030,"PRT"
SYSTXT_SHOP_DOUGU_43040,"MAG"
SYSTXT_SHOP_DOUGU_43050,"MAR"
SYSTXT_SHOP_DOUGU_43060,"THF"
SYSTXT_SHOP_DOUGU_43070,"MIN"
SYSTXT_SHOP_DOUGU_43080,"BTM"
SYSTXT_SHOP_DOUGU_43090,"PAL"
SYSTXT_SHOP_DOUGU_43100,"ARM"
SYSTXT_SHOP_DOUGU_43110,"RNG"
SYSTXT_SHOP_DOUGU_43120,"SGE"
SYSTXT_SHOP_DOUGU_43130,"SPS"
SYSTXT_SHOP_DOUGU_43140,"MON"
SYSTXT_SHOP_DOUGU_43150,"ITM"
SYSTXT_SHOP_DOUGU_43160,"DNC"
SYSTXT_SHOP_DOUGU_43170,"FRT"
SYSTXT_SHOP_DOUGU_43180,"DRU"
SYSTXT_SHOP_DOUGU_43190,"GAD"
