Key,SourceString
SYSTXT_TINYMEDALS_ITEM_00000,"Sage's Elixir"
SYSTXT_TINYMEDALS_ITEM_00001,"Spirit Orb"
SYSTXT_TINYMEDALS_ITEM_00002,"Occult Glasses"
SYSTXT_TINYMEDALS_ITEM_00003,"Subterane Glasses"
SYSTXT_TINYMEDALS_ITEM_00004,"Yggdrasil Leaf"
SYSTXT_TINYMEDALS_ITEM_00005,"Yggdrasil Dew"
SYSTXT_TINYMEDALS_ITEM_00006,"Thunderball"
SYSTXT_TINYMEDALS_ITEM_00007,"Sainted Soma"
SYSTXT_TINYMEDALS_ITEM_00008,"Saint's Ashes"
SYSTXT_TINYMEDALS_ITEM_00009,"Chronocrystal"
SYSTXT_TINYMEDALS_ITEM_00010,"Phantom Mask"
SYSTXT_TINYMEDALS_ITEM_00011,"Masquerade Mask"
SYSTXT_TINYMEDALS_ITEM_00012,"Fluffy Mustache"
SYSTXT_TINYMEDALS_ITEM_00013,"Fluffy White Mustache"
SYSTXT_TINYMEDALS_ITEM_00014,"Borderless Glasses"
SYSTXT_TINYMEDALS_ITEM_00015,"X-Ray Glasses"
SYSTXT_TINYMEDALS_ITEM_00016,"Dandy Sunglasses"
SYSTXT_TINYMEDALS_ITEM_00017,"Magical Glasses"
SYSTXT_TINYMEDALS_ITEM_00018,"Party Glasses"
SYSTXT_TINYMEDALS_ITEM_00019,"Hypno Glasses"
SYSTXT_TINYMEDALS_ITEM_00020,"Wrecklace"
SYSTXT_TINYMEDALS_ITEM_00021,"Wood Carved Rosary"
SYSTXT_TINYMEDALS_ITEM_00022,"Beckoning Bell"
SYSTXT_TINYMEDALS_ITEM_00023,"Banishing Bell"
SYSTXT_TINYMEDALS_ITEM_00024,"Adamant Pendant"
SYSTXT_TINYMEDALS_ITEM_00025,"Block-It Locket"
SYSTXT_TINYMEDALS_ITEM_00026,"Titan Belt"
SYSTXT_TINYMEDALS_ITEM_00027,"Brainy Bracer"
SYSTXT_TINYMEDALS_ITEM_00028,"Ruby Bracelet"
SYSTXT_TINYMEDALS_ITEM_00029,"Rosary"
SYSTXT_TINYMEDALS_ITEM_00030,"Sorcerer's Stone"
SYSTXT_TINYMEDALS_ITEM_00031,"Glorius Coat"
SYSTXT_TINYMEDALS_ITEM_00032,"Gold Skill Panel"
SYSTXT_TINYMEDALS_ITEM_00033,"Falcon Blade"
SYSTXT_TINYMEDALS_ITEM_00034,"Miracle Sword"
SYSTXT_TINYMEDALS_DESCRIPTION_00000,"Red Eye\nItem Description"
SYSTXT_TINYMEDALS_DESCRIPTION_00001,"Blue Eye\nItem Description"
SYSTXT_TINYMEDALS_DESCRIPTION_00002,"Yellow Eye\nItem Description"
SYSTXT_TINYMEDALS_DESCRIPTION_00003,"Green Eye\nItem Description"
SYSTXT_TINYMEDALS_DESCRIPTION_00004,"Purple Eye\nItem Description"
SYSTXT_TINYMEDALS_DESCRIPTION_00005,"Occult Glasses\nItem Description"
SYSTXT_TINYMEDALS_DESCRIPTION_00006,"Subterane Glasses\nItem Description"
SYSTXT_TINYMEDALS_DESCRIPTION_00007,"Yggdrasil Leaf\nItem Description"
SYSTXT_TINYMEDALS_DESCRIPTION_00008,"Thunderball\nItem Description"
SYSTXT_TINYMEDALS_DESCRIPTION_00009,"Sainted Soma\nItem Description"
SYSTXT_TINYMEDALS_DESCRIPTION_00010,"Saint's Ashes\nItem Description"
SYSTXT_TINYMEDALS_DESCRIPTION_00011,"Sage's Elixir\nItem Description"
SYSTXT_TINYMEDALS_DESCRIPTION_00012,"Emote Book: \"Banter\"\nItem Description"
SYSTXT_TINYMEDALS_DESCRIPTION_00013,"Emote Book: \"Point\"\nItem Description"
SYSTXT_TINYMEDALS_DESCRIPTION_00014,"Chronocrystal\nItem Description"
SYSTXT_TINYMEDALS_DESCRIPTION_00015,"Phantom Mask\nItem Description"
SYSTXT_TINYMEDALS_DESCRIPTION_00016,"Masquerade Mask\nItem Description"
SYSTXT_TINYMEDALS_DESCRIPTION_00017,"Fluffy Mustache\nItem Description"
SYSTXT_TINYMEDALS_DESCRIPTION_00018,"Fluffy White Mustache\nItem Description"
SYSTXT_TINYMEDALS_DESCRIPTION_00019,"Yggdrasil Dew\nItem Description"
SYSTXT_TINYMEDALS_DESCRIPTION_00020,"Emote Book: \"Nice\"\nItem Description"
SYSTXT_TINYMEDALS_DESCRIPTION_00021,"Emote Book: \"Blow Kiss\"\nItem Description"
SYSTXT_TINYMEDALS_DESCRIPTION_00022,"Emote Book: \"Sparkler\"\nItem Description"
SYSTXT_TINYMEDALS_DESCRIPTION_00023,"Emote Book: \"Cool\"\nItem Description"
SYSTXT_TINYMEDALS_DESCRIPTION_00024,"Borderless Glasses\nItem Description"
SYSTXT_TINYMEDALS_DESCRIPTION_00025,"X-Ray Glasses\nItem Description"
SYSTXT_TINYMEDALS_DESCRIPTION_00026,"Dandy Sunglasses\nItem Description"
SYSTXT_TINYMEDALS_DESCRIPTION_00027,"Magical Glasses\nItem Description"
SYSTXT_TINYMEDALS_DESCRIPTION_00028,"Party Glasses\nItem Description"
SYSTXT_TINYMEDALS_DESCRIPTION_00029,"Hypno Glasses\nItem Description"
SYSTXT_TINYMEDALS_DESCRIPTION_00030,"Fluffy Glasses\nItem Description"
SYSTXT_TINYMEDALS_DESCRIPTION_00031,"Emote Book: \"Spin\"\nItem Description"
SYSTXT_TINYMEDALS_DESCRIPTION_00032,"Emote Book: \"Sleep\"\nItem Description"
SYSTXT_TINYMEDALS_DESCRIPTION_00033,"Wrecklace\nItem Description"
SYSTXT_TINYMEDALS_DESCRIPTION_00034,"Wood Carved Rosary\nItem Description"
