Key,SourceString
SYSTXT_TITLE_BOUKENNOSYO_00010,"Continue Adventure Log"
SYSTXT_TITLE_BOUKENNOSYO_00020,"Create Adventure Log"
SYSTXT_TITLE_BOUKENNOSYO_00030,"Erase Adventure Log"
SYSTXT_TITLE_BOUKENNOSYO_00040,"Receive A Present"
SYSTXT_TITLE_BOUKENNOSYO_00050,"Try The Demo"
SYSTXT_TITLE_BOUKENNOSYO_00060,"Video Streaming Agreement"
SYSTXT_TITLE_BOUKENNOSYO_01010,"Adventure Log exists."
SYSTXT_TITLE_BOUKENNOSYO_01020,"これ以上　 Adventure Log　作れません.<lf> Adventure Log　新しく作りたい場合は<lf>先に　いずれかの Adventure Log　消してください.<lf><bw_break>"
SYSTXT_TITLE_BOUKENNOSYO_10010,"Autosaveからの再開"
SYSTXT_TITLE_BOUKENNOSYO_10020,"Adventure Log"
SYSTXT_TITLE_BOUKENNOSYO_10030,"プレイ時間"
SYSTXT_TITLE_BOUKENNOSYO_10040,"記録日時"
SYSTXT_TITLE_BOUKENNOSYO_11010,"Adventure Log　えらんでください."
SYSTXT_TITLE_BOUKENNOSYO_11020,"なんばんの Adventure Log　作りますか？"
SYSTXT_TITLE_BOUKENNOSYO_11030,"記録をErase　 Adventure Log　Please Choose."
SYSTXT_TITLE_BOUKENNOSYO_20010,"プレイ環境の setting を　しますか？<lf><select><lf>Use<lf>Don't Use<lf><select_end><break>"
SYSTXT_TITLE_BOUKENNOSYO_30010,"{SlotNum}：{Name}　Lv {Level}<lf>{SavePoint}　{Hour} : {Minutes} を<lf>消しても　よろしいですか？<lf><yesno2><break>"
SYSTXT_TITLE_BOUKENNOSYO_30020,"一度消した　 Adventure Logは　もとに戻せません.<lf>本当に　よろしいですか？<lf><yesno2><break>"
SYSTXT_TITLE_BOUKENNOSYO_30030,"Adventure Log{Number}の記録を消しています……."
SYSTXT_TITLE_BOUKENNOSYO_30040,"Adventure Log{Number}の記録を　消しました."
SYSTXT_TITLE_BOUKENNOSYO_40010,"Receive A Present"
SYSTXT_TITLE_BOUKENNOSYO_40020,"Enter A Code"
SYSTXT_TITLE_BOUKENNOSYO_40030,"Enter A Download Code"
SYSTXT_TITLE_BOUKENNOSYO_40040,"Enter A Product Code"
SYSTXT_TITLE_BOUKENNOSYO_41010,"Please Choose To Receive Desired Present."
SYSTXT_TITLE_BOUKENNOSYO_41020,"条件を満たしていないため<lf>この Present は　受け取れません."
SYSTXT_TITLE_BOUKENNOSYO_41030,"この Adventure Logでは　このPresent <lf>まだ　受け取っていません."
SYSTXT_TITLE_BOUKENNOSYO_41040,"この Adventure Logでは　このPresent <lf>{Year}年{Month}月{Day}日に　受け取っています."
SYSTXT_TITLE_BOUKENNOSYO_41050,"この Adventure Logでは　このPresent <lf>{Year}年{Month}月{Day}日に受け取っているため<lf>再度Receiveことはできません.<lf><bw_break>"
SYSTXT_TITLE_BOUKENNOSYO_41060,"この Adventure Logでは  Present の中に<lf>これ以上 持つことができないものがあります.<lf> game 内で 整理をしてください.<lf><bw_break>"
SYSTXT_TITLE_BOUKENNOSYO_41070,"{Slot}：{Name}　Lv {Lv}<lf>{Place}　{Hour} : {Minutes}で<lf>Present  Receive ますか？<lf><yesno><break>"
SYSTXT_TITLE_BOUKENNOSYO_41080,"Present  Receive ました！<lf><bw_break>"
SYSTXT_TITLE_BOUKENNOSYO_41090,"Autosave cannot receive presents.<lf>Please choose another Adventure Log.<lf><bw_break>"
SYSTXT_TITLE_BOUKENNOSYO_41100,"Present already exists for Adventure Log.<lf>他のPlease choose another Adventure Log."
SYSTXT_TITLE_BOUKENNOSYO_41110,"Adventure Logに　適用した Present が<lf>インストールされていません.<lf>このAdventure Log is unusable."
SYSTXT_TITLE_BOUKENNOSYO_41120,"五種族に　転生するまでは　Present <lf>Receiveことができません.<lf>ストーリーを進めてから　お Receive ください."
SYSTXT_TITLE_BOUKENNOSYO_50010,"Watch \"{Movie_Name}\"?<lf><yesno><break>"
SYSTXT_TITLE_BOUKENNOSYO_60010,"Display messages with furigana?<lf> ( setting 　１/４)<lf><select><lf>Use<lf>Don't Use<lf><select_end><break>"
SYSTXT_TITLE_BOUKENNOSYO_60020,"Voice Acting setting..<lf>再生しますか？<lf> ( setting 　２/４)<lf><select><lf>Use<lf>Don't Use<lf><select_end><break>"
