Key,SourceString
SYSTXT_CONVINIENT_MAIN_00010,"Handy Menu"
SYSTXT_CONVINIENT_MAIN_01010,"Zoomstone"
SYSTXT_CONVINIENT_MAIN_01020,"Fun-Sized Forge"
SYSTXT_CONVINIENT_MAIN_01030,"Alchemy Toad"
SYSTXT_CONVINIENT_MAIN_01040,"Party"
SYSTXT_CONVINIENT_MAIN_01050,"Emote"
SYSTXT_CONVINIENT_MAIN_01060,"The Story So Far"
SYSTXT_CONVINIENT_MAIN_01070,"Quest List"
SYSTXT_CONVINIENT_MAIN_02010,"Go To Registered Location"
SYSTXT_CONVINIENT_MAIN_02020,"Create & Enhance Equipment"
SYSTXT_CONVINIENT_MAIN_02030,"Create Items With Materials"
SYSTXT_CONVINIENT_MAIN_02040,"Party Chat"
SYSTXT_CONVINIENT_MAIN_02050,"Do An Emote"
SYSTXT_CONVINIENT_MAIN_02060,"Review Summary"
SYSTXT_CONVINIENT_MAIN_02070,"Review Quest Log"
SYSTXT_CONVINIENT_MAIN_03040,"..."
SYSTXT_CONVINIENT_MAIN_03050,"There's no party to chat with now!"
