Key,SourceString
SYSTXT_LIST_ITEM_00010,"Collectible Item List"
SYSTXT_LIST_ITEM_00020,"Weapons"
SYSTXT_LIST_ITEM_00030,"Armor"
SYSTXT_LIST_ITEM_00040,"Accessories"
SYSTXT_LIST_ITEM_00050,"Item"
SYSTXT_LIST_ITEM_00060,"Fishing Item"
SYSTXT_LIST_ITEM_00070,"Cooking"
SYSTXT_LIST_ITEM_00080,"Recipe Book"
SYSTXT_LIST_ITEM_00090,"Scout's Book"
SYSTXT_LIST_ITEM_00100,"Materials"
SYSTXT_LIST_ITEM_00110,"Key Items"
SYSTXT_LIST_ITEM_00120,"Types of items collected"
SYSTXT_LIST_ITEM_01000,"Type of {List_Item_Category} obtained"
SYSTXT_LIST_ITEM_01010,"Item Name"
SYSTXT_LIST_ITEM_01020,"Face Accessory"
SYSTXT_LIST_ITEM_01030,"Neck Accessory"
SYSTXT_LIST_ITEM_01040,"Finger Accessory"
SYSTXT_LIST_ITEM_01050,"Breast Accessory"
SYSTXT_LIST_ITEM_01060,"Waist Accessory"
SYSTXT_LIST_ITEM_01070,"Bill Accessory"
SYSTXT_LIST_ITEM_01080,"Other Access"
SYSTXT_LIST_ITEM_01090,"Medal"
SYSTXT_LIST_ITEM_10010,"Collected Fish List"
SYSTXT_LIST_ITEM_10020,"Type of fish caught"
SYSTXT_LIST_ITEM_10030,"Big size species caught"
SYSTXT_LIST_ITEM_10040,"Types of Kingsize Caught"
SYSTXT_LIST_ITEM_10050,"See current map"
SYSTXT_LIST_ITEM_10060,"Browse by Habitat"
SYSTXT_LIST_ITEM_10070,"By Lineage"
SYSTXT_LIST_ITEM_10080,"See all fish"
SYSTXT_LIST_ITEM_10090,"Types of fish caught in {List_Item_Category}"
SYSTXT_LIST_ITEM_10091,"Type of {List_Item_Category} caught"
SYSTXT_LIST_ITEM_10100,"Freshwater Fish"
SYSTXT_LIST_ITEM_10110,"Saltwater Fish"
SYSTXT_LIST_ITEM_10120,"Crustaceans"
SYSTXT_LIST_ITEM_10130,"Cephalopods"
SYSTXT_LIST_ITEM_10140,"Treasure Chest"
SYSTXT_LIST_ITEM_10150,"Mamechishiki"
SYSTXT_LIST_ITEM_10160,"Small"
SYSTXT_LIST_ITEM_10170,"Medium"
SYSTXT_LIST_ITEM_10180,"Large"
SYSTXT_LIST_ITEM_10190,"Huge"
SYSTXT_LIST_ITEM_10200,"Main habitat"
SYSTXT_LIST_ITEM_20010,"Artisan Recipe Book"
SYSTXT_LIST_ITEM_20020,"Learned {List_Item_Category} Recipe Types"
SYSTXT_LIST_ITEM_20030,"{List_Item_Category} recipe success count"
SYSTXT_LIST_ITEM_20040,"Weaponsmith"
SYSTXT_LIST_ITEM_20050,"Armor Blacksmith"
SYSTXT_LIST_ITEM_20060,"Can be created with:"
SYSTXT_LIST_ITEM_20070,"Required Materials"
SYSTXT_LIST_ITEM_20080,"Number required"
SYSTXT_LIST_ITEM_20090,"Number I have"
SYSTXT_LIST_ITEM_20100,"See recipe"
SYSTXT_LIST_ITEM_20110,"Parameter change"
SYSTXT_LIST_ITEM_20120,"Where to get it"
SYSTXT_LIST_ITEM_20130,"Recipes"
SYSTXT_LIST_ITEM_20140,"See details"
SYSTXT_LIST_ITEM_20150,"Coins"
SYSTXT_LIST_ITEM_20160,"Number of {List_Item_Category} recipes created"
SYSTXT_LIST_ITEM_30010,"List of earned titles"
SYSTXT_LIST_ITEM_30020,"Titles earned in categories in {List_Item_Category}"
SYSTXT_LIST_ITEM_30030,"Scenario"
SYSTXT_LIST_ITEM_30040,"Artisan"
SYSTXT_LIST_ITEM_30050,"Skills"
SYSTXT_LIST_ITEM_30060,"Battle"
SYSTXT_LIST_ITEM_30070,"Professional Level"
SYSTXT_LIST_ITEM_30080,"Other"
SYSTXT_LIST_ITEM_30090,"Text"
SYSTXT_LIST_ITEM_30100,"Difficulty:"
SYSTXT_LIST_ITEM_31010,"List of acquired loot"
SYSTXT_LIST_ITEM_31020,"Number of Red Chests Obtained"
SYSTXT_LIST_ITEM_31030,"Number of Black Chests Obtained"
