Key,SourceString
SYSTXT_CAREERE_HISTORY_00010,"Adventure Overview"
SYSTXT_CAREERE_HISTORY_00020,"The Story So Far"
SYSTXT_CAREERE_HISTORY_00030,"Target Monster List"
SYSTXT_CAREERE_HISTORY_00040,"Fellow Monster List"
SYSTXT_CAREERE_HISTORY_00050,"Item Collection List"
SYSTXT_CAREERE_HISTORY_00060,"Fish Collection List"
SYSTXT_CAREERE_HISTORY_00070,"Craftsman Recipe Book"
SYSTXT_CAREERE_HISTORY_00080,"Acquired Titles List"
SYSTXT_CAREERE_HISTORY_00090,"Acquired Treasure List"
SYSTXT_CAREERE_HISTORY_00100,"Monster Tarot Cards"
SYSTXT_CAREERE_HISTORY_00110,"Quest List"
SYSTXT_CAREERE_HISTORY_00120,"Playtime"
SYSTXT_CAREERE_HISTORY_00130,"Battles Won"
SYSTXT_CAREERE_HISTORY_00140,"Defeated Monsters"
SYSTXT_CAREERE_HISTORY_00150,"Magic Labyrinth Clears"
SYSTXT_CAREERE_HISTORY_00160,"Cleared Quests"
SYSTXT_CAREERE_HISTORY_00170,"Cleared Requests"
SYSTXT_CAREERE_HISTORY_00180,"Fun-Sized Forge Uses"
SYSTXT_CAREERE_HISTORY_00190,"Times Wiped Out"
SYSTXT_CAREERE_HISTORY_00200,"Mini Medals Collected"
SYSTXT_CAREERE_HISTORY_00210,"Earned Accolades"
SYSTXT_CAREERE_HISTORY_00220,"Casino Tokens Collected"
SYSTXT_CAREERE_HISTORY_00230,"Total Gold Collected"
SYSTXT_CAREERE_HISTORY_00240,"Hours"
SYSTXT_CAREERE_HISTORY_00250,"Minutes"
SYSTXT_CAREERE_HISTORY_00260,"Times"
SYSTXT_CAREERE_HISTORY_00270,""
SYSTXT_CAREERE_HISTORY_00280,""
SYSTXT_CAREERE_HISTORY_00290,""
SYSTXT_CAREERE_HISTORY_00300,"G"
SYSTXT_CAREERE_HISTORY_00310,"Alchemy Pot Uses"
