Key,SourceString
SYSTXT_SYSTEM_PROFILEWORD_00010,"Title Settings"
SYSTXT_SYSTEM_PROFILEWORD_00020,"1st"
SYSTXT_SYSTEM_PROFILEWORD_00030,"2nd"
SYSTXT_SYSTEM_PROFILEWORD_00040,"Character Name"
SYSTXT_SYSTEM_PROFILEWORD_00050,"Monster Name"
SYSTXT_SYSTEM_PROFILEWORD_00060,"Title Words"
SYSTXT_SYSTEM_PROFILEWORD_00070,"Title"
SYSTXT_SYSTEM_PROFILEWORD_00080,"Current Title"
SYSTXT_SYSTEM_PROFILEWORD_90010,"Title cannot be used in both 1st and 2nd positions!"
SYSTXT_SYSTEM_PROFILEWORD_90020,"Title cannot exceed 15 characters"
