Key,SourceString
SYSTXT_SHIRABERU_00010,"{Shiraberu_Item_Name} received <end>"
SYSTXT_SHIRABERU_00020,"{Shiraberu_Gold} Gold received <end>"
SYSTXT_SHIRABERU_00030,"What! {pc} received\n{Shiraberu_Item_Name}<end>"
SYSTXT_SHIRABERU_00040,"But {pc} can't hold any more.\n{pc} put {Shiraberu_Item_Name} back.<end>"
SYSTXT_SHIRABERU_00050,"Nothing was found.<end>"
SYSTXT_SHIRABERU_01010,"Received {Shiraberu_Item_Name} x{Shiraberu_Item_Num}<end>"
SYSTXT_SHIRABERU_01020,"What! {pc} received\n{Shiraberu_Item_Name} x{Shiraberu_Item_Num}<end>"
SYSTXT_SHIRABERU_02010,"What! The treasure chest was actually\n{Treasure_Monster}!<end>"
SYSTXT_SHIRABERU_02020,"To open this treasure chest a special key\nis needed.<end>"
SYSTXT_SHIRABERU_02030,"{pc} used the Great Thief's Key<lf><br_break>"
SYSTXT_SHIRABERU_02040,"{pc} received\n{Shiraberu_Item_Name}<end>"
SYSTXT_SHIRABERU_02050,"{pc} received\n{Shiraberu_Gold} Gold<end>"
SYSTXT_SHIRABERU_02051,"But {pc} can't hold any more.\n{pc} put {Shiraberu_Item_Name} back in the chest.<end>"
SYSTXT_SHIRABERU_02060,"{pc} received\n{Shiraberu_Item_Name} x{Shiraberu_Item_Num}<end>"
SYSTXT_SHIRABERU_03010,"The door is locked.<end>"
SYSTXT_SHIRABERU_03020,"To open this door a special key is needed.<end>"
